Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.004000,7.209452,-0.741744,-1.825947,27,71,32,84,-0.000025,0.000033,0.918115
0.014000,7.209682,-0.740421,-1.827276,28,71,32,84,-0.000041,-0.000008,1.173779
0.024000,7.209612,-0.741582,-1.828091,27,71,32,85,0.000038,-0.000031,-0.871529
0.034000,7.209666,-0.740586,-1.828283,27,71,33,84,-0.000018,-0.000045,-1.382856
0.044000,7.209465,-0.741326,-1.828412,27,71,32,84,-0.000050,-0.000025,-1.255024
0.055000,7.209608,-0.741968,-1.828091,27,71,33,84,-0.000109,-0.000008,2.707760
0.065000,7.209399,-0.743436,-1.827733,26,71,32,84,-0.000052,0.000021,0.918115
0.075000,7.209587,-0.743704,-1.827596,27,70,31,84,-0.000029,0.000028,-1.766351
0.085000,7.209644,-0.744268,-1.827181,27,70,33,85,-0.000004,0.000059,-1.127192
0.095000,7.209566,-0.743218,-1.827031,27,71,33,84,0.000011,0.000042,1.301611
0.105000,7.209613,-0.742975,-1.827903,27,72,32,84,0.000033,0.000029,-1.766351
0.115000,7.209496,-0.742036,-1.828381,27,71,32,84,0.000031,0.000020,0.790284
0.126000,7.209412,-0.742800,-1.830019,27,71,32,84,-0.000026,-0.000013,0.151125
0.136000,7.209496,-0.741245,-1.828862,27,71,32,84,-0.000078,-0.000039,0.662452
0.146000,7.209462,-0.741054,-1.828883,27,71,32,84,-0.000120,-0.000019,-1.127192
0.156000,7.209478,-0.743430,-1.828506,27,70,32,84,-0.000077,0.000017,0.278957
0.166000,7.209285,-0.743912,-1.827894,27,71,32,84,0.000001,0.000012,0.918115
0.176000,7.209586,-0.746363,-1.828541,27,70,32,84,0.000017,0.000039,0.662452
0.187000,7.209402,-0.744695,-1.829339,27,71,32,84,0.000040,0.000042,-3.172500
0.197000,7.209723,-0.744724,-1.827935,27,71,33,84,-0.000011,0.000032,1.045947
0.207000,7.209589,-0.746383,-1.827772,27,71,32,84,0.000006,0.000010,-0.488034
0.217000,7.209852,-0.746577,-1.824675,27,71,32,84,0.000035,0.000018,2.835591
0.227000,7.209595,-0.747057,-1.824696,27,71,32,84,0.000072,0.000010,-0.488034
0.237000,7.209600,-0.748495,-1.824000,27,71,32,84,0.000130,0.000034,0.278957
0.247000,7.209610,-0.749451,-1.824292,27,72,33,84,0.000153,0.000042,1.045947
0.258000,7.209673,-0.749888,-1.824021,27,71,32,84,0.000051,0.000057,0.278957
0.268000,7.209453,-0.749318,-1.823527,27,70,32,84,0.000050,0.000057,-2.149846
0.278000,7.209610,-0.749082,-1.822096,27,71,32,84,0.000014,0.000057,-1.766351
0.288000,7.209477,-0.749785,-1.824000,27,71,33,84,0.000039,0.000011,0.278957
0.298000,7.209818,-0.750207,-1.823663,27,71,32,84,0.000077,0.000016,-0.871529
0.308000,7.209581,-0.749664,-1.823280,27,71,32,84,0.000024,0.000011,-0.104538
0.319000,7.209659,-0.749903,-1.824145,27,71,32,84,0.000006,0.000025,-0.743697
0.329000,7.209586,-0.749110,-1.823588,27,71,32,85,-0.000013,0.000007,1.685106
0.339000,7.209598,-0.747369,-1.821965,27,72,32,84,-0.000011,-0.000005,-0.360202
0.349000,7.209692,-0.747019,-1.824808,27,71,32,84,-0.000038,0.000002,0.406788
0.359000,7.209668,-0.747564,-1.825123,27,70,32,84,0.000048,0.000002,-1.510687
0.369000,7.209623,-0.746907,-1.826023,27,71,32,84,-0.000027,-0.000034,-0.871529
0.379000,7.209669,-0.747052,-1.827362,27,71,32,85,-0.000145,-0.000017,1.173779
0.390000,7.209572,-0.746960,-1.826627,27,71,32,84,-0.000136,-0.000007,0.406788
0.400000,7.209565,-0.746923,-1.826838,27,71,33,84,-0.000111,0.000024,-2.916836
0.410000,7.209660,-0.749919,-1.826137,27,71,32,84,-0.000087,0.000017,2.579928
0.420000,7.209405,-0.747437,-1.826449,27,72,32,84,0.000048,0.000024,-1.127192
0.430000,7.209583,-0.749373,-1.826069,27,71,32,84,0.000001,0.000057,0.151125
0.440000,7.209539,-0.747618,-1.825959,27,70,32,84,0.000036,0.000035,-0.615865
0.450000,7.209497,-0.747110,-1.824424,27,71,32,84,0.000030,-0.000002,2.579928
0.461000,7.209493,-0.746243,-1.825119,27,71,32,84,0.000018,-0.000003,1.045947
0.471000,7.209608,-0.747022,-1.823592,27,71,32,83,0.000070,0.000003,0.023293
0.481000,7.209748,-0.747795,-1.823998,27,71,32,84,0.000039,-0.000008,-0.999360
0.491000,7.209370,-0.746152,-1.826350,27,71,33,85,0.000117,0.000003,1.173779
0.501000,7.209579,-0.747767,-1.826065,27,71,32,84,0.000105,0.000032,-1.127192
