Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.002000,7.209660,-0.714479,-1.852235,26,71,31,84,0.000060,-0.000046,-1.350756
0.012000,7.209803,-0.714366,-1.853921,26,71,31,85,0.000073,-0.000077,-1.734251
0.022000,7.209831,-0.712807,-1.853328,25,70,32,84,0.000107,-0.000029,-0.583766
0.032000,7.209782,-0.714191,-1.852095,26,70,31,84,0.000032,-0.000024,0.694552
0.042000,7.209715,-0.714343,-1.853754,25,70,30,84,-0.000009,-0.000006,-0.072439
0.052000,7.209858,-0.713843,-1.852992,26,71,31,85,0.000039,0.000014,-1.350756
0.062000,7.209767,-0.711823,-1.851277,25,70,31,85,0.000009,0.000025,-0.967261
0.072000,7.209518,-0.713395,-1.851986,26,70,31,84,0.000000,0.000030,-1.222924
0.083000,7.209846,-0.714849,-1.852111,25,70,31,84,0.000071,-0.000029,1.333710
0.093000,7.210034,-0.712874,-1.851622,26,70,30,84,0.000056,0.000013,0.566720
0.103000,7.210039,-0.713471,-1.852536,25,70,31,84,-0.000004,0.000023,0.694552
0.114000,7.209797,-0.711098,-1.851820,26,70,31,85,0.000024,0.000026,-0.455934
0.123000,7.209672,-0.711265,-1.853065,26,71,31,84,-0.000007,0.000016,0.950215
0.133000,7.209931,-0.710795,-1.852320,25,70,31,84,0.000014,-0.000020,0.950215
0.144000,7.209978,-0.712629,-1.852881,25,71,31,84,-0.000010,-0.000038,-0.200271
0.154000,7.209638,-0.712218,-1.853261,25,70,31,85,-0.000013,-0.000038,-0.711598
0.164000,7.209761,-0.711556,-1.853284,26,70,31,84,-0.000002,-0.000005,0.055393
0.174000,7.209640,-0.711703,-1.853655,26,70,31,85,-0.000052,0.000015,-1.095093
0.184000,7.209917,-0.713471,-1.852258,26,70,31,84,-0.000048,0.000014,-0.711598
0.194000,7.209814,-0.713002,-1.850898,26,70,31,85,-0.000040,-0.000015,0.694552
0.204000,7.209882,-0.712826,-1.851327,25,69,31,85,0.000036,0.000025,2.356364
0.215000,7.209967,-0.712393,-1.850631,25,70,31,85,0.000090,0.000038,-1.478588
0.225000,7.209858,-0.713497,-1.850454,26,70,31,85,0.000050,0.000014,0.311056
0.235000,7.210007,-0.712599,-1.848742,25,70,31,84,0.000042,-0.000012,0.822383
0.245000,7.209991,-0.711225,-1.850762,25,70,31,84,0.000058,0.000018,-2.501241
0.255000,7.209655,-0.714498,-1.851394,25,70,31,84,0.000048,-0.000013,-0.711598
0.265000,7.209842,-0.711807,-1.851765,26,70,31,84,-0.000022,-0.000050,-1.350756
0.275000,7.209809,-0.711833,-1.850978,25,70,31,85,-0.000050,0.000026,-1.350756
0.286000,7.209750,-0.711807,-1.847721,26,70,31,85,-0.000064,0.000024,2.100701
0.296000,7.209731,-0.711705,-1.849554,25,71,31,85,-0.000031,-0.000005,-1.478588
0.306000,7.210088,-0.713556,-1.850268,26,70,30,85,0.000083,-0.000054,-1.989915
0.316000,7.209896,-0.713395,-1.850144,25,71,31,84,0.000038,-0.000013,1.078047
0.326000,7.210027,-0.713976,-1.848843,26,71,31,84,-0.000019,-0.000009,-0.967261
0.336000,7.210162,-0.713986,-1.848915,26,71,31,85,0.000030,0.000026,-0.583766
0.346000,7.209861,-0.712795,-1.847942,26,70,31,85,0.000054,0.000030,1.205878
