Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.001000,28.371126,-1.132099,-0.169757,106,123,114,134,0.000081,0.000125,-1.144631
0.001000,28.371027,-1.129516,-0.170242,105,123,114,134,0.000193,0.000011,-1.272462
0.011000,28.371206,-1.131616,-0.170755,105,123,113,134,0.000119,-0.000110,0.261518
0.021000,28.371107,-1.132703,-0.170954,105,123,113,134,-0.000199,-0.000177,1.412004
0.000000,28.371185,-1.134423,-0.171389,106,123,113,133,-0.000145,-0.000038,-0.377640
0.006000,28.371107,-1.132997,-0.169952,105,123,114,134,-0.000196,0.000081,-0.249808
0.000000,28.371187,-1.133471,-0.169578,106,123,114,134,0.000138,0.000199,0.389350
0.010000,28.370930,-1.134142,-0.169286,105,123,113,134,0.000159,-0.000033,1.028509
0.006000,28.371044,-1.133336,-0.170178,105,123,113,134,0.000120,0.000009,0.005855
0.000000,28.371065,-1.133521,-0.169777,105,123,113,134,0.000117,-0.000034,-1.528126
0.006000,28.371038,-1.132150,-0.169396,105,123,113,134,-0.000015,-0.000042,-1.400294
0.000000,28.371164,-1.132270,-0.170068,106,123,114,134,0.000046,-0.000013,1.795499
0.000000,28.371105,-1.133139,-0.171060,106,123,114,134,0.000237,-0.000136,0.900677
0.003000,28.371202,-1.135242,-0.172486,106,124,113,134,-0.000078,-0.000261,0.389350
0.000000,28.371222,-1.133556,-0.170180,105,123,112,134,-0.000088,-0.000042,0.645014
0.000000,28.371069,-1.133623,-0.171653,106,123,113,134,-0.000449,0.000210,0.772845
0.005000,28.371254,-1.133757,-0.171890,106,122,113,134,-0.000220,0.000072,-0.761135
0.000000,28.371229,-1.134495,-0.173263,106,123,113,133,-0.000026,0.000020,0.772845
0.010000,28.371223,-1.134503,-0.170796,106,122,113,134,-0.000228,-0.000011,0.133687
0.020000,28.371387,-1.136729,-0.170487,105,123,113,134,-0.000286,-0.000022,1.795499
0.030000,28.370991,-1.137630,-0.170157,106,122,113,134,0.000027,0.000012,0.517182
0.001000,28.371025,-1.139260,-0.172243,106,122,113,134,0.000126,0.000184,-1.783789
0.001000,28.371075,-1.138699,-0.172429,105,123,113,133,0.000318,0.000193,-0.633304
0.011000,28.371090,-1.141177,-0.174213,106,124,113,134,0.000006,0.000210,1.166102
0.000000,28.371071,-1.140742,-0.174557,105,122,113,135,-0.000345,0.000061,0.910438
0.001000,28.371271,-1.139181,-0.174558,106,123,113,134,-0.000445,0.000040,0.526943
0.000000,28.371065,-1.139150,-0.174278,106,123,113,134,-0.000325,0.000116,0.526943
0.000000,28.371233,-1.141220,-0.173939,106,123,114,134,-0.000066,0.000057,-0.495711
0.009000,28.371229,-1.139727,-0.172376,106,123,113,134,-0.000028,-0.000037,0.399111
0.020000,28.371159,-1.137580,-0.172602,106,122,113,134,-0.000062,0.000035,0.271279
0.029000,28.371063,-1.138645,-0.172302,105,123,113,134,0.000273,0.000004,-0.240047
0.039000,28.371004,-1.141008,-0.172428,106,123,113,134,0.000318,-0.000050,-0.495711
0.049000,28.371054,-1.138490,-0.171440,106,122,113,134,0.000150,-0.000107,0.271279
0.060000,28.371143,-1.138740,-0.169704,105,124,113,133,0.000064,-0.000028,-0.367879
0.070000,28.371113,-1.137751,-0.169709,106,123,113,133,0.000162,-0.000105,0.143448
0.080000,28.371159,-1.136322,-0.168045,106,123,114,134,0.000191,-0.000024,0.654775
0.004000,28.371147,-1.138546,-0.166943,106,123,114,134,0.000425,-0.000076,-0.879206
0.014000,28.371181,-1.140119,-0.167185,106,123,113,134,0.000342,-0.000153,-1.007038
0.000000,28.371256,-1.138951,-0.169003,107,123,112,134,0.000324,-0.000061,-0.367879
0.000000,28.371031,-1.140687,-0.169353,105,123,113,134,0.000375,-0.000026,-0.879206
0.000000,28.371147,-1.140486,-0.168684,106,124,113,133,0.000054,0.000207,1.166102
0.000000,28.371000,-1.142920,-0.169061,105,124,113,134,-0.000346,0.000125,-0.495711
0.000000,28.371391,-1.141569,-0.168428,105,123,113,134,-0.000189,0.000058,0.399111
0.000000,28.370874,-1.144460,-0.168129,105,123,113,134,-0.000061,0.000135,1.166102
0.000000,28.370970,-1.143459,-0.168558,106,123,113,134,-0.000007,0.000034,-0.367879
0.000000,28.371092,-1.146609,-0.168625,106,123,113,134,0.000130,0.000203,1.293933
0.000000,28.370888,-1.144749,-0.169656,106,123,113,134,0.000009,0.000198,1.421765
0.007000,28.371170,-1.145369,-0.169333,105,123,113,134,-0.000330,0.000180,2.316587
0.017000,28.371017,-1.145355,-0.168866,105,123,114,134,-0.000144,-0.000069,-1.007038
0.000000,28.371132,-1.144709,-0.169045,105,123,113,134,-0.000083,-0.000101,0.015616
0.000000,28.371216,-1.144529,-0.169265,106,123,113,134,-0.000018,-0.000003,-1.007038
0.000000,28.371071,-1.143838,-0.168085,107,123,113,134,0.000142,0.000002,0.399111
0.000000,28.371222,-1.143315,-0.167179,106,123,112,134,-0.000036,-0.000141,1.549597
0.003000,28.370916,-1.144794,-0.166158,106,123,114,134,0.000058,-0.000234,-0.879206
0.003000,28.370995,-1.145435,-0.165764,105,123,113,134,0.000179,-0.000226,0.910438
0.013000,28.371161,-1.143785,-0.166659,105,123,114,134,0.000373,0.000012,-0.751374
0.024000,28.371180,-1.143946,-0.167455,106,123,113,134,0.000248,0.000030,-1.901860
0.034000,28.371120,-1.144138,-0.166947,106,123,113,134,-0.000006,-0.000052,-1.262701
0.044000,28.370937,-1.143054,-0.168448,106,123,114,134,-0.000117,0.000020,1.293933
0.000000,28.371010,-1.145573,-0.169144,105,124,113,133,-0.000033,-0.000079,-0.495711
0.000000,28.370991,-1.147339,-0.167925,106,123,113,134,-0.000173,-0.000083,-0.112216
0.000000,28.371038,-1.147579,-0.168274,106,123,113,134,-0.000364,0.000036,0.271279
0.000000,28.370949,-1.147313,-0.169447,105,123,113,134,-0.000086,0.000079,-0.751374
0.002000,28.371063,-1.146577,-0.171124,105,123,113,134,0.000097,0.000105,-1.134869
0.013000,28.371012,-1.146136,-0.172185,106,122,113,133,-0.000128,0.000057,0.399111
0.022000,28.371143,-1.148572,-0.172678,105,123,113,134,-0.000425,-0.000032,0.399111
0.033000,28.371092,-1.146573,-0.172413,106,123,113,135,-0.000371,0.000014,-0.751374
0.043000,28.371090,-1.147370,-0.171464,106,123,113,134,-0.000394,0.000062,-2.029692
0.053000,28.370935,-1.147564,-0.172013,106,124,114,134,-0.000120,-0.000047,-0.240047
0.001000,28.371052,-1.147874,-0.171247,106,124,113,134,-0.000089,-0.000013,1.677428
0.000000,28.371037,-1.150822,-0.171331,105,123,113,134,0.000005,0.000027,1.421765
0.000000,28.371262,-1.150105,-0.171965,104,123,113,134,0.000220,0.000070,-1.390533
0.000000,28.371096,-1.150720,-0.172231,105,123,113,134,-0.000060,0.000126,1.038270
0.000000,28.370964,-1.150486,-0.172033,106,123,114,133,-0.000156,0.000206,1.549597
0.003000,28.370911,-1.151463,-0.171541,106,123,113,134,-0.000017,0.000095,-0.623543
0.013000,28.371096,-1.152613,-0.173279,105,123,112,134,-0.000160,0.000029,-0.367879
0.023000,28.371111,-1.154626,-0.172881,105,123,113,134,0.000034,0.000001,0.015616
0.033000,28.371256,-1.153482,-0.172012,105,123,113,134,0.000059,0.000150,-0.367879
0.000000,28.370911,-1.153305,-0.172227,105,122,112,134,-0.000103,0.000220,-1.390533
0.000000,28.371260,-1.152377,-0.171607,106,123,113,134,0.000020,0.000162,-0.240047
0.000000,28.370756,-1.152901,-0.171210,106,123,113,134,0.000150,0.000022,0.399111
0.000000,28.371113,-1.152001,-0.171597,106,123,113,133,0.000001,-0.000099,0.015616
0.000000,28.371052,-1.153224,-0.170984,105,123,113,134,0.000077,-0.000038,-1.134869
0.000000,28.371105,-1.153648,-0.170807,105,123,113,134,-0.000001,-0.000057,2.955746
