Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.913000,22.882515,-0.582607,-1.190803,53,97,83,107
0.923000,22.937981,-0.590136,-1.263956,51,96,89,115
0.933000,22.997004,-0.591052,-1.344359,49,96,93,121
0.943000,23.057333,-0.589319,-1.427311,45,96,95,124
0.953000,23.119471,-0.592231,-1.510282,43,96,93,127
0.963000,23.188850,-0.602528,-1.596753,41,94,96,128
0.973000,23.266197,-0.624174,-1.681751,38,93,101,132
0.984000,23.347382,-0.639502,-1.758767,36,91,105,136
0.994000,23.431080,-0.648614,-1.827037,34,88,108,137
1.004000,23.521959,-0.656308,-1.889439,33,87,110,137
1.014000,23.617844,-0.670112,-1.947511,32,87,112,138
1.024000,23.714235,-0.683551,-1.998605,28,85,112,139
1.034000,23.816715,-0.687507,-2.039655,25,84,113,141
1.045000,23.922052,-0.686903,-2.071783,24,83,113,140
1.055000,24.034634,-0.691627,-2.096577,23,82,105,141
1.065000,24.141899,-0.687109,-2.115222,23,81,103,137
1.075000,24.253365,-0.693270,-2.125122,23,80,105,138
1.085000,24.364769,-0.700504,-2.121353,23,80,103,136
1.095000,24.478636,-0.703755,-2.113456,22,80,102,134
1.105000,24.592030,-0.701430,-2.095305,22,81,101,132
1.115000,24.707560,-0.700274,-2.069472,23,82,98,130
1.125000,24.820059,-0.694986,-2.043341,24,82,95,129
1.136000,24.928852,-0.686519,-2.017441,23,82,88,124
1.146000,25.043634,-0.685091,-1.990722,23,81,87,120
1.156000,25.161188,-0.685366,-1.960790,23,83,86,119
1.166000,25.278605,-0.683383,-1.932849,24,84,86,118
1.176000,25.395245,-0.677078,-1.901994,23,85,85,116
1.186000,25.512045,-0.667017,-1.866895,24,84,82,113
1.196000,25.627064,-0.661873,-1.827892,23,83,79,111
1.206000,25.743076,-0.651377,-1.795317,23,82,74,107
1.217000,25.862152,-0.640623,-1.766676,24,81,73,106
1.227000,25.979248,-0.627165,-1.736818,23,80,72,105
1.237000,26.157516,-0.604673,-1.693026,24,79,70,102
1.247000,26.273970,-0.588128,-1.664505,23,78,68,100
1.257000,26.388374,-0.571006,-1.639006,22,78,64,97
1.267000,26.498816,-0.550766,-1.615493,22,77,60,92
1.277000,26.613295,-0.533720,-1.597639,22,76,59,91
1.288000,26.728636,-0.519617,-1.582231,22,76,59,91
1.298000,26.853830,-0.506392,-1.565760,22,74,60,90
1.310000,26.966614,-0.495730,-1.547518,24,73,59,89
1.318000,27.078373,-0.486095,-1.529978,22,73,59,87
1.328000,27.186356,-0.471347,-1.512743,21,74,57,85
1.338000,27.295959,-0.454687,-1.499025,21,74,54,83
1.348000,27.405834,-0.440592,-1.492089,20,71,55,81
1.358000,27.514441,-0.433740,-1.487085,19,71,55,81
1.368000,27.608091,-0.426336,-1.481636,16,66,53,78
1.379000,27.710747,-0.415295,-1.479177,12,60,47,72
1.389000,27.843517,-0.400860,-1.485954,8,55,42,67
1.399000,27.908512,-0.387686,-1.497819,4,51,38,63
1.409000,27.958103,-0.377712,-1.510010,1,48,37,61
1.419000,27.992708,-0.374766,-1.517537,1,47,34,60
1.429000,28.017754,-0.371708,-1.515618,2,48,34,61
1.439000,28.035265,-0.368793,-1.498881,6,51,36,63
1.450000,27.971655,-0.365269,-1.474830,10,55,39,66
1.460000,27.975290,-0.363893,-1.441794,14,60,41,68
1.470000,27.977716,-0.367922,-1.409312,19,66,43,71
1.480000,27.979052,-0.367820,-1.383791,23,70,45,73
1.490000,27.979458,-0.370102,-1.371084,25,73,47,74
1.500000,27.979588,-0.372276,-1.369585,26,74,48,76
1.510000,27.979433,-0.377280,-1.375534,25,73,48,76
1.520000,27.979595,-0.378529,-1.384282,22,70,47,76
1.530000,27.979326,-0.381418,-1.395003,19,68,46,76
1.541000,27.979097,-0.384830,-1.405963,17,66,47,77
1.551000,27.978622,-0.391381,-1.416973,16,65,48,78
1.561000,27.978319,-0.393355,-1.425974,16,66,49,81
1.571000,27.977762,-0.395461,-1.432237,16,66,51,83
1.581000,27.977259,-0.396001,-1.432397,18,67,54,86
1.591000,27.976803,-0.398696,-1.434162,18,68,55,88
1.601000,27.976257,-0.398489,-1.438683,20,70,55,90
1.611000,27.975569,-0.398092,-1.443184,19,69,56,91
1.621000,27.974964,-0.398137,-1.451002,18,68,57,91
1.631000,27.974453,-0.398365,-1.458317,18,67,57,90
1.642000,27.973921,-0.397472,-1.464958,16,66,56,91
1.652000,27.973410,-0.397286,-1.470227,16,66,56,91
1.662000,27.972799,-0.397539,-1.477487,16,66,57,91
1.672000,27.972507,-0.396293,-1.480407,16,66,58,91
1.682000,27.972120,-0.394180,-1.482924,17,66,58,92
