time,lift,roll,pitch,foot1,foot2,foot3,foot4
0.008000,7.790145,-1.395140,-0.534270,118,63,76,107
0.018000,7.790270,-1.392616,-0.534056,118,63,76,106
0.028000,7.790382,-1.394829,-0.537221,118,63,76,106
0.038000,7.790128,-1.395002,-0.536690,118,64,77,106
0.048000,7.790092,-1.393770,-0.538850,118,63,77,106
0.058000,7.790090,-1.392634,-0.538116,118,62,76,106
0.068000,7.790164,-1.390264,-0.540217,118,63,76,106
0.079000,7.790007,-1.391564,-0.540626,118,63,76,106
0.089000,7.790090,-1.390721,-0.540372,118,63,76,106
0.099000,7.790193,-1.389098,-0.539093,118,63,75,107
0.109000,7.790372,-1.389154,-0.539118,118,63,76,107
0.119000,7.790169,-1.390315,-0.539162,118,63,76,107
0.129000,7.790188,-1.390050,-0.538131,118,63,76,107
0.139000,7.790107,-1.391529,-0.538529,118,63,76,106
0.149000,7.790159,-1.390946,-0.538301,118,63,77,107
0.160000,7.790021,-1.391337,-0.539108,118,63,76,107
0.169000,7.790148,-1.391952,-0.539551,118,63,76,107
0.180000,7.790206,-1.392160,-0.539049,118,63,76,106
0.190000,7.790338,-1.392769,-0.539958,119,63,76,106
0.200000,7.790159,-1.392284,-0.539638,118,63,76,106
0.210000,7.790158,-1.390572,-0.539599,118,63,77,107
0.220000,7.790051,-1.390436,-0.540308,119,63,76,106
0.230000,7.790396,-1.388961,-0.540760,118,63,76,106
0.240000,7.790118,-1.389573,-0.540878,118,63,77,106
0.250000,7.789959,-1.388888,-0.539749,118,64,77,107
0.260000,7.790206,-1.388231,-0.540267,118,63,76,106
0.271000,7.790286,-1.389415,-0.541194,118,63,76,106
0.281000,7.790133,-1.390010,-0.541304,118,64,76,106
0.291000,7.790102,-1.388029,-0.541676,118,64,77,106
0.301000,7.789824,-1.386204,-0.540981,118,63,76,107
0.311000,7.790103,-1.387877,-0.540431,118,64,76,106
0.321000,7.790117,-1.387123,-0.538003,118,63,76,106
0.331000,7.790058,-1.387135,-0.537908,118,63,77,107
0.341000,7.790057,-1.388580,-0.538810,118,63,76,107
0.352000,7.790382,-1.387004,-0.537470,118,63,77,106
0.362000,7.790229,-1.387385,-0.537083,118,63,76,106
0.372000,7.790293,-1.387181,-0.537516,118,63,76,107
0.382000,7.790154,-1.385755,-0.538003,118,63,76,106
0.392000,7.790230,-1.387413,-0.537688,118,63,76,107
0.402000,7.790176,-1.387158,-0.537775,118,64,77,106
0.412000,7.790195,-1.385054,-0.536199,118,63,77,106
0.422000,7.790241,-1.386570,-0.537175,118,63,76,107
0.433000,7.790059,-1.387583,-0.536327,118,63,76,106
0.443000,7.790146,-1.386089,-0.538100,118,63,76,106
0.453000,7.790118,-1.387109,-0.539213,119,63,77,107
0.463000,7.790170,-1.387691,-0.538241,118,63,77,107
