Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.007000,28.561813,-1.073110,-0.018651,134,122,106,147,0.000054,-0.000111,-0.496651
0.017000,28.561710,-1.073570,-0.018158,134,122,106,147,0.000188,-0.000209,0.270339
0.027000,28.561771,-1.075837,-0.018207,134,122,106,148,0.000325,-0.000101,0.909498
0.037000,28.561762,-1.074071,-0.016482,134,122,106,147,0.000446,-0.000000,-1.647137
0.047000,28.561760,-1.074926,-0.017859,134,122,106,147,0.000326,0.000055,0.398171
0.057000,28.561794,-1.073014,-0.017241,134,122,106,148,0.000257,0.000030,-1.774969
0.067000,28.561855,-1.072542,-0.016218,135,123,106,147,0.000110,0.000082,-1.007978
0.077000,28.561846,-1.071447,-0.017344,134,122,106,148,0.000150,0.000006,0.909498
0.087000,28.561983,-1.070602,-0.019110,134,122,106,148,0.000203,-0.000095,0.014676
0.098000,28.561867,-1.070486,-0.018147,135,121,106,147,0.000266,-0.000126,0.014676
0.108000,28.561857,-1.072105,-0.016958,135,122,106,147,-0.000210,-0.000116,0.270339
0.118000,28.561655,-1.072873,-0.015417,134,123,106,147,-0.000283,-0.000063,-1.135810
0.128000,28.561768,-1.072515,-0.016884,134,123,106,148,0.000156,0.000057,-1.774969
0.138000,28.561792,-1.071212,-0.016175,135,122,106,148,0.000374,0.000137,2.699142
0.148000,28.561800,-1.072039,-0.016514,134,122,106,147,0.000488,0.000114,1.548656
0.158000,28.561750,-1.071588,-0.016027,134,122,106,148,0.000087,-0.000029,0.270339
0.169000,28.561813,-1.071238,-0.015918,134,122,106,148,0.000094,-0.000110,0.781666
0.179000,28.561783,-1.071925,-0.017532,135,122,106,147,0.000316,0.000056,-1.135810
0.190000,28.561872,-1.072451,-0.016577,134,122,106,147,0.000100,0.000024,-1.519305
0.199000,28.561762,-1.073903,-0.016359,134,122,106,148,-0.000037,0.000047,-1.135810
0.209000,28.561634,-1.074690,-0.016299,134,122,106,148,0.000041,0.000021,0.142507
0.219000,28.561895,-1.075332,-0.016685,134,122,106,148,0.000116,0.000223,0.909498
0.229000,28.561735,-1.074719,-0.015741,135,122,106,148,0.000162,0.000172,1.292993
0.239000,28.561703,-1.076763,-0.015751,134,122,106,148,0.000158,0.000121,-0.113156
0.250000,28.561678,-1.077260,-0.017537,134,123,106,147,0.000161,0.000128,-1.263642
0.260000,28.561798,-1.078392,-0.016364,134,122,106,148,-0.000121,0.000219,-0.240988
0.270000,28.561666,-1.079997,-0.016996,134,122,107,148,-0.000178,0.000264,0.014676
0.280000,28.561752,-1.080046,-0.016058,134,122,106,148,-0.000236,0.000306,1.037329
0.290000,28.561657,-1.079714,-0.017374,135,122,105,147,-0.000149,0.000308,-1.647137
0.300000,28.561810,-1.080729,-0.018658,134,122,106,148,0.000116,0.000257,0.398171
0.310000,28.561703,-1.079783,-0.017156,135,122,106,147,0.000008,0.000074,-1.135810
0.320000,28.561640,-1.082126,-0.017097,134,122,106,148,-0.000388,0.000116,1.548656
0.331000,28.561792,-1.084205,-0.015871,135,122,106,147,0.000034,0.000075,1.165161
0.341000,28.561693,-1.085943,-0.016124,134,121,106,147,0.000302,0.000169,-0.624483
0.351000,28.561634,-1.082908,-0.013956,134,122,106,147,0.000531,0.000336,0.270339
0.361000,28.561840,-1.081355,-0.015001,134,122,106,147,0.000285,0.000217,-1.519305
0.371000,28.561861,-1.082015,-0.014678,134,121,106,148,0.000287,-0.000040,-0.113156
