time,lift,roll,pitch,foot1,foot2,foot3,foot4
0.006000,28.334957,-1.492428,0.485920,103,186,125,133
0.016000,28.334936,-1.492182,0.483361,103,185,126,133
0.026000,28.334818,-1.491374,0.483520,104,186,125,133
0.036000,28.334957,-1.492445,0.483174,103,185,126,133
0.046000,28.334969,-1.490314,0.482493,103,186,126,134
0.057000,28.335005,-1.491046,0.481030,103,185,125,134
0.069000,28.334888,-1.490473,0.481028,103,185,125,134
0.077000,28.334846,-1.492452,0.480704,103,185,125,134
0.087000,28.334772,-1.491125,0.481008,103,185,126,134
0.097000,28.334921,-1.490397,0.481853,103,186,125,133
0.107000,28.335056,-1.489775,0.481421,103,185,126,133
0.117000,28.334862,-1.491026,0.481549,103,185,126,133
0.127000,28.334799,-1.492568,0.483878,103,186,125,133
0.138000,28.335073,-1.494777,0.483372,103,185,125,134
0.148000,28.334808,-1.494171,0.482914,103,186,126,134
0.158000,28.334826,-1.494892,0.482866,103,185,126,134
0.168000,28.334942,-1.497266,0.483700,103,186,126,133
0.178000,28.334913,-1.497266,0.483778,103,185,125,133
0.188000,28.335062,-1.496196,0.484123,103,185,125,133
0.198000,28.334829,-1.497431,0.485933,103,185,125,133
0.208000,28.334766,-1.496639,0.486088,103,185,125,134
0.218000,28.334887,-1.495346,0.485658,103,185,125,134
0.228000,28.335030,-1.497103,0.485220,103,185,126,133
0.239000,28.334942,-1.496340,0.485495,103,185,126,134
0.249000,28.335043,-1.496121,0.485071,103,186,126,133
0.259000,28.335194,-1.496825,0.485112,103,185,125,134
0.269000,28.335043,-1.495279,0.484571,102,185,125,134
0.279000,28.334839,-1.493508,0.485367,103,185,126,134
0.289000,28.334736,-1.494011,0.487351,103,185,126,134
0.299000,28.334860,-1.494238,0.488136,103,185,126,134
0.309000,28.335106,-1.494657,0.488502,104,186,126,134
0.320000,28.334829,-1.496007,0.487053,103,185,125,134
0.329000,28.334736,-1.493056,0.487281,103,185,126,134
0.340000,28.334942,-1.492703,0.486211,103,185,125,134
0.350000,28.335003,-1.493956,0.486732,103,186,126,134
0.360000,28.334913,-1.490228,0.488201,103,186,125,134
0.370000,28.334925,-1.489823,0.489187,103,185,125,133
0.380000,28.335011,-1.489974,0.487075,103,185,126,134
0.390000,28.334967,-1.491902,0.488395,103,186,126,134
0.400000,28.334930,-1.491588,0.488715,103,186,125,134
0.410000,28.334961,-1.491944,0.488617,103,185,126,133
0.420000,28.334909,-1.493307,0.490217,103,186,126,134
0.430000,28.334999,-1.494809,0.489682,103,186,125,134
0.441000,28.334915,-1.492419,0.489067,103,185,125,134
0.451000,28.334936,-1.491613,0.488398,103,186,125,134
0.461000,28.334904,-1.493264,0.487792,103,186,126,134
0.471000,28.334887,-1.493617,0.486708,103,185,125,133
0.481000,28.335207,-1.491068,0.486436,103,185,126,134
0.491000,28.334942,-1.488976,0.486546,103,185,125,134
0.501000,28.334972,-1.489905,0.487452,103,186,125,133
0.511000,28.335184,-1.491280,0.486775,103,185,126,134
0.521000,28.335020,-1.491319,0.486766,103,186,125,134
0.532000,28.334930,-1.491011,0.486396,104,186,126,133
0.542000,28.334946,-1.491014,0.486306,103,186,125,134
0.552000,28.335110,-1.490593,0.486765,103,185,125,133
0.562000,28.334957,-1.490603,0.486165,103,185,126,133
0.572000,28.334778,-1.489858,0.486632,102,185,126,134
0.582000,28.335083,-1.490386,0.485136,102,186,125,133
0.592000,28.335058,-1.490589,0.485135,103,186,125,134
0.602000,28.334919,-1.488821,0.484872,103,185,126,134
0.612000,28.335032,-1.488563,0.486176,103,185,126,134
0.623000,28.334978,-1.486126,0.485713,104,185,126,133
0.633000,28.335011,-1.485798,0.486847,103,186,126,134
0.643000,28.335068,-1.487050,0.487071,103,186,125,134
0.653000,28.334936,-1.487428,0.487031,103,186,125,133
0.663000,28.335011,-1.486496,0.487403,103,185,125,134
0.673000,28.334852,-1.485943,0.489596,103,185,126,134
0.683000,28.335062,-1.486938,0.490679,103,185,126,134
0.693000,28.334785,-1.486495,0.491442,103,186,125,133
0.704000,28.334925,-1.485538,0.490926,103,185,125,134
0.714000,28.334984,-1.485421,0.490751,103,186,126,134
0.724000,28.334797,-1.483472,0.491123,104,186,126,133
0.734000,28.335117,-1.482953,0.490325,103,185,126,133
0.744000,28.335009,-1.481750,0.488423,103,186,126,133
0.754000,28.334772,-1.483732,0.490098,103,186,126,134
0.764000,28.335083,-1.484170,0.491182,103,185,126,134
0.774000,28.335052,-1.483766,0.490622,103,185,126,134
0.784000,28.334900,-1.484517,0.490529,103,185,125,134
0.795000,28.334839,-1.481565,0.491129,103,186,126,133
0.805000,28.334888,-1.483231,0.491037,102,185,126,133
0.815000,28.334707,-1.485438,0.491627,103,186,125,133
0.825000,28.334772,-1.486597,0.491546,103,185,125,133
0.835000,28.334942,-1.487295,0.491681,103,186,125,133
0.845000,28.334957,-1.485607,0.491474,103,185,126,133
0.855000,28.335037,-1.486942,0.492043,103,185,126,134
0.865000,28.335167,-1.488204,0.493974,104,185,125,133
0.876000,28.334881,-1.487671,0.493155,103,185,125,134
0.886000,28.334826,-1.487649,0.494341,103,186,126,133
0.896000,28.334803,-1.489871,0.494872,103,186,125,134
0.906000,28.334791,-1.488069,0.494319,103,186,125,133
0.916000,28.334900,-1.489381,0.494547,103,185,126,133
0.926000,28.334904,-1.487454,0.493768,104,185,125,133
0.936000,28.334850,-1.488247,0.492890,104,185,125,134
0.946000,28.334894,-1.487129,0.492618,104,186,125,134
0.956000,28.334846,-1.483823,0.492021,103,186,125,134
0.966000,28.335035,-1.483684,0.491201,103,185,126,133
0.977000,28.334972,-1.484518,0.492536,104,186,125,134
0.987000,28.334719,-1.485185,0.494214,103,185,126,134
0.997000,28.334719,-1.483425,0.495876,103,186,126,134
1.007000,28.334696,-1.483269,0.495917,103,186,126,134
1.017000,28.335035,-1.485738,0.495860,103,186,125,133
1.027000,28.335016,-1.485146,0.495943,102,186,125,134
1.037000,28.334925,-1.484292,0.496863,103,186,126,134
1.047000,28.334785,-1.483936,0.497760,103,185,126,134
1.057000,28.334740,-1.483892,0.498014,103,186,125,134
1.068000,28.334785,-1.483835,0.498207,102,186,125,134
1.078000,28.334623,-1.484862,0.499498,103,185,125,134
1.088000,28.334719,-1.484838,0.499600,103,186,125,134
1.098000,28.334719,-1.484281,0.500074,104,185,126,134
1.108000,28.334894,-1.482566,0.497704,103,186,125,135
1.118000,28.334831,-1.481371,0.495466,104,185,126,134
1.128000,28.334925,-1.480329,0.498054,103,185,125,133
1.138000,28.334927,-1.481611,0.496660,103,186,126,134
1.148000,28.334797,-1.481622,0.495371,103,186,125,133
1.159000,28.334892,-1.481109,0.495681,104,185,126,134
1.169000,28.335005,-1.481021,0.497125,103,186,126,134
1.179000,28.334761,-1.481170,0.495852,104,186,125,133
1.189000,28.334900,-1.480966,0.495521,104,185,126,134
1.199000,28.334930,-1.478964,0.494871,103,186,126,134
1.209000,28.334881,-1.479355,0.495407,103,186,125,134
1.219000,28.334936,-1.480320,0.497266,103,185,125,133
1.229000,28.334913,-1.480850,0.496600,103,186,126,134
1.239000,28.334867,-1.481902,0.497245,104,186,125,133
1.250000,28.335014,-1.480293,0.497492,102,185,125,134
1.260000,28.334766,-1.480205,0.498473,103,186,125,133
1.270000,28.335041,-1.478256,0.499097,103,185,125,133
1.280000,28.334805,-1.477815,0.498636,103,185,125,134
1.290000,28.334791,-1.479115,0.497655,103,186,125,134
1.300000,28.334799,-1.481377,0.496593,103,186,125,134
1.310000,28.334940,-1.480048,0.497991,103,185,126,133
1.320000,28.334839,-1.479319,0.499221,103,185,125,134
1.331000,28.334740,-1.477710,0.498744,103,186,126,134
1.341000,28.334881,-1.481699,0.499743,103,186,126,134
1.351000,28.334745,-1.479159,0.499750,102,185,125,133
1.361000,28.334826,-1.481358,0.501555,103,186,125,134
1.371000,28.334860,-1.483587,0.502011,103,185,125,134
1.381000,28.334845,-1.480735,0.501290,103,186,125,134
1.391000,28.334713,-1.481688,0.501439,103,186,125,133
1.401000,28.334887,-1.482544,0.500624,103,186,125,133
1.411000,28.334873,-1.482507,0.502015,104,186,125,134
1.422000,28.334793,-1.482992,0.502861,103,185,126,134
1.432000,28.334723,-1.483827,0.504526,103,186,125,133
1.442000,28.334641,-1.479100,0.504726,103,186,125,134
1.452000,28.334846,-1.481223,0.505873,103,185,126,133
1.462000,28.334812,-1.480701,0.505209,103,185,126,135
1.472000,28.334867,-1.481586,0.504907,103,185,125,133
1.482000,28.334764,-1.482082,0.505164,103,186,126,134
1.492000,28.334772,-1.480446,0.505073,103,185,125,134
1.503000,28.334681,-1.482246,0.503941,103,186,125,134
1.513000,28.334661,-1.482293,0.506958,103,186,126,134
1.523000,28.334675,-1.481271,0.506811,103,186,126,133
1.533000,28.334555,-1.480420,0.506788,103,186,125,134
1.543000,28.334608,-1.480029,0.506780,103,185,126,134
1.553000,28.334764,-1.478747,0.506582,104,186,125,134
1.563000,28.334793,-1.476000,0.506252,104,186,125,134
1.573000,28.334883,-1.477446,0.505750,103,185,126,133
1.584000,28.334909,-1.476061,0.505957,103,185,126,133
1.594000,28.334654,-1.473596,0.505106,103,185,126,134
1.604000,28.334787,-1.475612,0.504972,103,186,126,134
1.614000,28.334627,-1.475596,0.503485,103,186,126,134
1.624000,28.334766,-1.474034,0.502418,103,186,126,134
1.634000,28.334728,-1.475331,0.502151,104,186,126,134
1.644000,28.334785,-1.476658,0.502244,103,186,125,133
1.654000,28.334887,-1.478381,0.503063,102,186,126,134
1.664000,28.373007,-1.477445,0.503094,102,185,126,133
1.675000,28.361759,-1.462615,0.502342,55,181,131,74
1.685000,28.406101,-1.465881,0.488876,14,201,162,23
1.695000,28.409449,-1.486843,0.500485,6,232,189,13
1.705000,28.401873,-1.473149,0.523303,4,268,208,10
1.715000,28.390493,-1.423547,0.512386,4,298,239,9
1.725000,28.362326,-1.385245,0.511141,3,316,266,8
1.735000,28.339314,-1.392199,0.541749,4,340,272,9
1.745000,28.315496,-1.402881,0.569279,4,353,261,10
1.756000,28.310766,-1.357810,0.538399,0,339,254,0
1.766000,28.316010,-1.355599,0.493215,-1,311,246,0
1.776000,28.323433,-1.403196,0.452213,-1,283,231,-1
1.786000,28.335472,-1.459805,0.411422,-1,261,217,-1
1.796000,28.349579,-1.483963,0.382998,0,247,211,-1
1.806000,28.365749,-1.498449,0.373370,0,243,207,-1
1.816000,28.371450,-1.482494,0.374533,0,245,204,0
1.826000,28.371378,-1.442440,0.387198,0,248,206,0
1.836000,28.367832,-1.403722,0.406712,0,257,211,0
1.846000,28.364389,-1.375473,0.430921,10,271,219,26
1.857000,28.156551,-1.315988,0.463864,147,252,203,169
1.867000,28.176943,-1.346416,0.504568,169,73,67,177
1.877000,28.275555,-1.372072,0.494936,201,5,1,204
1.887000,28.331596,-1.432805,0.458267,242,-4,-7,220
1.897000,28.323370,-1.504977,0.380128,227,-6,-9,232
1.907000,28.316366,-1.465229,0.267934,209,-8,-9,253
1.917000,28.307999,-1.376573,0.219109,197,-7,-9,281
1.927000,28.310055,-1.276677,0.278937,209,-6,-7,283
1.938000,28.311434,-1.269802,0.400285,232,-6,-7,272
1.948000,28.304901,-1.432638,0.517062,250,-2,-1,249
1.958000,28.295984,-1.671779,0.547668,262,-1,0,221
1.968000,28.316351,-1.859211,0.521348,264,0,0,221
1.978000,28.345621,-1.986158,0.494078,260,0,0,216
1.988000,28.362518,-2.010698,0.406304,238,1,0,217
1.999000,28.388992,-2.015926,0.329934,211,1,0,231
2.009000,28.413694,-1.972543,0.244560,192,1,1,251
2.019000,28.430721,-1.850329,0.173613,186,1,2,266
2.029000,28.437706,-1.726103,0.127945,191,1,3,271
2.039000,28.440062,-1.725259,0.132235,197,3,3,281
2.049000,28.439388,-1.792069,0.198032,208,35,62,279
2.059000,28.245125,-1.940811,0.311010,189,209,160,217
2.069000,28.312838,-2.125152,0.351753,29,253,152,39
2.080000,28.414995,-2.190577,0.280800,-5,280,186,-2
2.090000,28.444439,-2.281165,0.146839,-8,292,200,-8
2.100000,28.448021,-2.238494,-0.002399,-10,244,232,-10
2.110000,28.496891,-2.263940,-0.065762,-9,231,294,-10
2.120000,28.482538,-2.276720,-0.001558,-8,238,295,-9
2.130000,28.483227,-2.246787,0.168500,-8,265,280,-8
2.140000,28.484974,-2.198109,0.357532,-7,310,252,-8
2.150000,28.465569,-2.055686,0.505795,-7,337,223,-7
2.161000,28.466013,-2.072852,0.502537,-6,334,218,-6
2.171000,28.473679,-2.133096,0.490433,-5,329,209,-6
2.181000,28.488625,-2.182911,0.404480,-5,311,214,-5
2.191000,28.517654,-2.251572,0.278155,-5,285,240,-5
2.201000,28.526550,-2.364698,0.118611,-4,261,267,-4
2.211000,28.542536,-2.500276,0.008622,-3,243,299,-4
2.221000,28.541306,-2.572665,0.003016,-3,250,299,-3
2.231000,28.542772,-2.485183,0.092449,-2,261,291,-4
2.242000,28.544649,-2.338252,0.211422,0,279,281,66
2.252000,28.219677,-2.131936,0.350800,158,286,250,112
2.262000,28.354763,-2.108064,0.394084,193,107,94,124
2.272000,28.511911,-2.179481,0.285752,207,12,11,209
2.282000,28.530735,-2.203880,0.141997,199,0,-1,230
2.292000,28.561121,-2.168941,0.029423,173,-3,-3,252
2.302000,28.590063,-2.023450,-0.044405,164,-3,-4,289
2.312000,28.583218,-1.888173,-0.031639,164,-3,-3,293
2.323000,28.588364,-1.863616,0.080235,186,-3,-2,288
2.333000,28.592470,-1.939346,0.216120,222,-2,-1,274
2.343000,28.559404,-2.117837,0.273381,241,0,0,244
2.353000,28.552046,-2.305243,0.250848,246,0,0,236
2.363000,28.548590,-2.328475,0.183320,236,0,0,246
2.373000,28.547218,-2.288177,0.119831,225,1,1,251
2.383000,28.546413,-2.239635,0.072302,216,1,1,251
2.393000,28.554758,-2.216853,0.028930,206,3,2,259
2.403000,28.555954,-2.235670,-0.013428,194,2,2,268
2.413000,28.551220,-2.193033,-0.069931,189,3,2,271
2.424000,28.544590,-2.219079,-0.091625,188,3,3,276
2.434000,28.533527,-2.324797,-0.069800,185,4,3,280
2.444000,28.206856,-2.429769,-0.010901,190,75,90,281
2.454000,28.318129,-2.511571,0.045177,123,199,158,176
2.464000,28.399035,-2.544277,0.103577,15,220,196,23
2.474000,28.458687,-2.622277,0.089527,-7,236,240,-7
2.484000,28.470978,-2.634446,0.084453,-10,265,242,-12
2.494000,28.470108,-2.600127,0.049631,-10,269,256,-12
2.504000,28.449375,-2.493999,-0.028700,-10,255,275,-12
2.514000,28.420275,-2.355126,-0.060048,-9,242,300,-12
2.525000,28.397503,-2.274939,0.005682,-8,258,301,-11
2.535000,28.375977,-2.215986,0.110945,-7,284,293,-10
2.545000,28.356684,-2.155733,0.196667,-6,304,278,-9
2.555000,28.344360,-2.203308,0.220328,-6,312,268,-9
2.565000,28.328054,-2.271918,0.215118,-6,309,248,-8
2.575000,28.320826,-2.334607,0.162095,-5,293,238,-7
2.585000,28.319958,-2.429641,0.067803,-5,277,238,-7
2.595000,28.333546,-2.532861,-0.047285,-4,260,254,-6
2.605000,28.364893,-2.598190,-0.252392,-4,238,297,-6
2.616000,28.359726,-2.524233,-0.314002,-4,230,320,-6
2.626000,28.326447,-2.289237,-0.325327,-3,222,318,13
2.636000,27.909634,-1.960806,-0.192604,94,223,301,156
2.646000,28.097460,-1.790694,0.062570,158,122,143,218
2.656000,28.234032,-1.659807,0.260006,205,22,17,275
2.666000,28.250164,-1.732927,0.331417,237,1,-3,239
2.676000,28.302908,-1.855101,0.270607,238,-2,-7,263
2.687000,28.292662,-1.921553,0.084014,199,-2,-7,292
2.697000,28.281549,-1.914566,-0.076931,154,-1,-6,349
2.707000,28.263500,-1.802942,-0.102234,148,-1,-5,349
2.717000,28.262499,-1.751595,-0.000280,166,0,-4,326
2.727000,28.279818,-1.867537,0.166632,205,0,-3,302
2.737000,28.259113,-2.046914,0.291102,217,1,-2,269
2.747000,28.248728,-2.214267,0.334454,216,2,-1,251
2.757000,28.246021,-2.412455,0.376846,217,2,-1,229
2.767000,28.251308,-2.628382,0.375006,216,2,0,212
2.778000,28.254089,-2.769057,0.282234,208,3,0,207
2.788000,28.236357,-2.835402,0.124467,170,4,1,227
2.798000,28.228914,-2.731170,-0.033756,138,4,1,247
2.808000,28.214684,-2.581120,-0.098555,122,5,1,271
2.818000,28.161922,-2.418250,-0.067014,119,5,1,267
2.828000,27.699831,-2.298118,0.026777,130,194,116,233
2.838000,27.862871,-2.191221,0.144928,77,260,233,121
2.848000,27.968008,-2.237789,0.193845,6,285,284,14
2.858000,27.980019,-2.303313,0.148064,-7,290,306,-11
2.868000,28.005493,-2.314399,0.067522,-10,288,326,-16
2.878000,27.968699,-2.337308,-0.088023,-9,228,349,-16
2.888000,27.951330,-2.278604,-0.199668,-8,202,367,-15
2.899000,27.947235,-2.175018,-0.209566,-8,211,378,-14
2.909000,27.930256,-2.113180,-0.089895,-7,227,367,-13
2.919000,27.928213,-2.040148,0.123628,-6,277,318,-13
2.929000,27.910305,-2.049380,0.302816,-6,315,268,-11
2.939000,27.872393,-2.060323,0.440723,-5,312,223,-10
2.949000,27.842728,-2.075980,0.570093,-4,305,181,-10
2.959000,27.852695,-2.068178,0.614691,-4,304,161,-9
2.969000,27.884409,-2.083414,0.546951,-4,303,172,-9
2.979000,27.880743,-2.108124,0.341932,-4,255,194,-8
2.990000,27.904547,-2.264533,0.106554,-3,210,247,-8
3.000000,27.872726,-2.512916,-0.042873,-3,178,294,-7
3.010000,27.774086,-2.721606,-0.093204,-3,161,261,43
3.020000,27.205721,-2.620570,0.097451,72,171,217,201
3.030000,27.430334,-2.454051,0.452235,232,133,110,228
3.040000,27.575415,-2.367983,0.657284,245,38,18,323
3.050000,27.599413,-2.413921,0.791681,253,1,-6,309
3.060000,27.726448,-2.645466,0.678156,259,-2,-8,350
3.070000,27.725336,-2.688182,0.471083,203,-2,-7,394
3.081000,27.700752,-2.612866,0.338711,148,-1,-6,408
3.091000,27.737247,-2.516272,0.307181,149,0,-5,393
3.101000,27.798182,-2.476821,0.423939,187,0,-4,358
3.111000,27.857845,-2.572020,0.602059,244,0,-3,305
3.121000,27.851292,-2.756772,0.710642,238,1,-2,251
3.131000,27.883900,-2.940573,0.824660,238,2,-1,204
3.141000,27.948168,-3.185909,0.938331,244,2,-1,181
3.151000,28.010569,-3.364691,0.937784,236,5,0,173
3.161000,28.045639,-3.410940,0.785558,212,3,0,176
3.172000,28.066912,-3.310496,0.526942,146,4,1,216
3.182000,28.085506,-3.020841,0.331095,104,5,0,250
3.192000,28.064114,-2.660303,0.231832,89,5,0,246
3.202000,28.032207,-2.299484,0.218960,93,32,7,220
3.212000,27.466330,-1.974093,0.343701,101,211,182,174
3.222000,27.794992,-1.752336,0.539333,40,268,293,49
3.232000,27.850405,-1.826869,0.621876,-2,261,312,-9
3.242000,27.937475,-1.833738,0.621193,-9,292,359,-17
3.253000,28.019720,-1.890348,0.537710,-10,291,395,-18
3.263000,28.026686,-1.907808,0.368587,-9,235,433,-18
3.273000,28.025236,-1.943333,0.287083,-8,184,439,-17
3.283000,28.075319,-2.044714,0.348058,-7,191,416,-15
3.293000,28.143566,-2.048114,0.517625,-7,242,366,-14
3.303000,28.196230,-1.994737,0.733305,-6,314,296,-13
3.313000,28.183285,-1.946051,0.919107,-5,296,226,-12
3.323000,28.220098,-1.889529,1.081843,-5,284,183,-11
3.334000,28.282890,-1.791787,1.234338,-5,284,161,-11
3.344000,28.337919,-1.676859,1.320170,-4,272,154,-10
3.354000,28.371719,-1.610179,1.224473,-4,264,148,-9
3.364000,28.365103,-1.551988,0.939274,-4,218,150,-8
3.374000,28.365799,-1.525851,0.669995,-3,153,193,-8
