Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.006000,28.494102,-1.582307,0.467899,110,183,119,146,0.000051,0.000008,-0.350080
0.016000,28.494116,-1.581728,0.466991,110,183,119,147,0.000110,-0.000096,0.161247
0.026000,28.494272,-1.582257,0.468896,109,183,120,146,0.000261,0.000033,-1.244902
0.036000,28.494078,-1.583184,0.468621,109,183,119,146,-0.000348,0.000057,1.823059
0.046000,28.494061,-1.584177,0.470161,109,183,119,147,0.000075,0.000117,0.928237
0.056000,28.494102,-1.585214,0.469254,109,183,119,147,-0.000080,0.000205,-1.117070
0.066000,28.494024,-1.584097,0.469812,110,183,119,146,0.000229,0.000164,0.544742
0.076000,28.494162,-1.585637,0.469930,109,183,120,146,0.000101,0.000182,-1.500565
0.086000,28.494141,-1.584224,0.467169,109,183,119,146,0.000263,-0.000049,-2.778883
0.096000,28.494110,-1.584105,0.467086,109,183,119,147,-0.000102,0.000025,-0.861407
0.107000,28.494141,-1.585133,0.468229,109,183,119,147,-0.000316,0.000098,0.289079
0.117000,28.494081,-1.585335,0.470284,109,183,119,147,-0.000404,-0.000009,1.439564
0.127000,28.493837,-1.585268,0.470972,109,183,119,146,-0.000066,0.000096,-0.350080
0.137000,28.494131,-1.584737,0.470732,110,183,119,147,0.000004,0.000047,-2.395387
0.147000,28.494028,-1.584063,0.470478,109,183,119,146,0.000185,0.000110,-0.989239
0.157000,28.494150,-1.580623,0.469053,109,182,119,147,0.000390,-0.000013,-0.989239
0.167000,28.494104,-1.581585,0.467913,109,182,119,146,-0.000081,-0.000026,0.928237
0.178000,28.494083,-1.583078,0.470958,109,183,119,146,-0.000152,-0.000232,1.311733
0.188000,28.493938,-1.583294,0.470847,109,183,119,146,-0.000377,-0.000136,0.289079
0.198000,28.494003,-1.583077,0.470057,109,182,119,146,-0.000036,0.000016,-0.222248
0.208000,28.494003,-1.584663,0.469955,109,183,119,146,0.000320,0.000100,0.033415
0.218000,28.494049,-1.585329,0.470263,109,183,119,146,-0.000064,0.000095,-1.372734
0.228000,28.493994,-1.583983,0.471011,110,182,119,146,-0.000260,0.000152,-0.222248
0.238000,28.494188,-1.584086,0.471486,109,183,119,146,-0.000221,0.000138,0.800406
0.249000,28.494150,-1.583973,0.472798,109,183,119,147,0.000060,-0.000038,-0.605743
0.259000,28.494141,-1.582502,0.472802,109,183,120,146,0.000294,0.000026,-2.267556
0.269000,28.493988,-1.583670,0.473193,109,182,120,146,0.000101,0.000011,-0.350080
0.279000,28.493950,-1.582527,0.472855,109,182,119,146,0.000255,0.000036,1.056069
0.289000,28.493946,-1.582917,0.473363,109,182,119,146,0.000352,0.000026,-0.477912
0.299000,28.493988,-1.583797,0.473201,109,183,119,146,-0.000124,-0.000040,1.056069
0.309000,28.494061,-1.583083,0.472754,109,182,119,146,0.000075,-0.000041,-2.523219
0.319000,28.493998,-1.583047,0.472002,109,182,120,146,0.000222,0.000132,-1.117070
0.329000,28.493986,-1.583631,0.471424,109,183,119,146,0.000473,0.000059,-0.605743
0.340000,28.494141,-1.583132,0.471339,110,183,119,145,0.000062,-0.000046,-1.117070
0.350000,28.493855,-1.583232,0.472696,109,182,119,146,-0.000077,0.000071,0.033415
0.360000,28.494072,-1.584661,0.473801,109,182,119,146,-0.000313,0.000013,-0.222248
0.370000,28.493982,-1.585002,0.473282,109,183,120,146,-0.000222,0.000106,-0.094416
0.380000,28.493971,-1.586096,0.473012,109,183,119,146,0.000086,0.000096,-1.244902
