Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.004000,28.211531,-0.587358,-1.077363,103,133,136,148,-0.000497,0.000100,-0.156502
0.014000,28.211412,-0.588734,-1.077398,103,133,135,148,-0.000248,0.000002,-0.028670
0.024000,28.211521,-0.590726,-1.077563,103,133,135,148,0.000092,-0.000041,0.226994
0.034000,28.211420,-0.589131,-1.077200,102,133,135,148,0.000124,0.000181,-0.795660
0.048000,28.211536,-0.589220,-1.076404,104,133,135,148,0.000161,0.000124,0.738320
0.054000,28.211672,-0.589869,-1.075421,103,133,135,148,-0.000105,0.000139,-1.179155
0.065000,28.211409,-0.590588,-1.075825,103,133,136,148,-0.000104,-0.000046,1.121816
0.075000,28.211508,-0.589823,-1.076639,103,133,136,148,0.000083,0.000049,2.272301
0.085000,28.211594,-0.588507,-1.076314,103,133,136,148,0.000008,0.000099,-2.073978
0.095000,28.211630,-0.591312,-1.078124,103,133,135,148,-0.000161,-0.000045,-0.028670
0.105000,28.211557,-0.592626,-1.075699,103,133,136,149,-0.000016,-0.000057,1.377479
0.115000,28.211617,-0.594333,-1.076020,104,132,136,148,-0.000307,0.000028,2.144469
0.125000,28.211117,-0.594218,-1.077597,103,132,136,149,0.000142,0.000185,0.099162
0.135000,28.211386,-0.593233,-1.077151,103,134,136,148,0.000167,0.000340,0.482657
0.146000,28.211430,-0.594018,-1.077387,103,133,135,148,-0.000119,0.000170,0.354825
0.156000,28.211424,-0.595450,-1.076932,103,133,136,148,-0.000120,-0.000007,0.866152
0.166000,28.211552,-0.593478,-1.077717,104,134,135,148,-0.000105,0.000001,-2.585304
0.176000,28.211658,-0.592811,-1.080096,104,133,136,149,0.000274,-0.000029,0.226994
0.186000,28.211615,-0.592738,-1.079002,103,133,136,148,-0.000017,0.000003,-1.306987
0.196000,28.211519,-0.594114,-1.078514,103,133,136,148,-0.000538,-0.000081,0.354825
0.206000,28.211391,-0.597598,-1.078604,103,133,136,148,-0.000276,-0.000111,-1.434819
0.217000,28.211481,-0.597272,-1.079562,103,133,136,148,-0.000149,0.000054,-1.051324
0.227000,28.211519,-0.596918,-1.077727,103,132,135,148,0.000024,0.000192,-1.690482
0.237000,28.211460,-0.595194,-1.078703,103,133,135,148,-0.000152,0.000228,0.226994
0.247000,28.211668,-0.596716,-1.078181,103,133,136,148,0.000130,0.000154,-1.690482
0.257000,28.211653,-0.598210,-1.078548,102,133,136,148,-0.000009,0.000052,-0.156502
0.267000,28.211542,-0.596916,-1.078226,103,133,136,148,0.000118,0.000086,1.760974
0.277000,28.211624,-0.598168,-1.078618,103,133,135,148,0.000164,0.000085,0.354825
