Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.008000,7.208374,-0.547856,-1.881398,26,71,31,85,0.000039,-0.000028,-1.256137
0.018000,7.208510,-0.549463,-1.879454,26,70,31,84,0.000018,-0.000038,1.300497
0.029000,7.208312,-0.549319,-1.879727,26,71,31,85,-0.000008,-0.000029,1.683992
0.039000,7.208559,-0.547781,-1.878344,25,70,31,84,0.000023,-0.000015,0.405675
0.049000,7.208494,-0.548079,-1.877733,26,70,31,85,0.000031,-0.000002,0.533507
0.059000,7.208656,-0.550164,-1.875334,26,71,31,84,-0.000019,-0.000022,-0.744811
0.069000,7.208548,-0.551691,-1.874894,26,71,31,84,-0.000027,0.000004,1.044834
0.079000,7.208769,-0.550132,-1.874167,25,70,31,85,-0.000001,0.000039,-1.383969
0.089000,7.208788,-0.551177,-1.875528,27,70,30,85,0.000041,0.000067,1.683992
0.099000,7.208748,-0.550419,-1.873162,26,71,31,85,0.000056,0.000021,2.323151
0.110000,7.208602,-0.550928,-1.873260,25,71,31,84,-0.000064,0.000023,0.789170
0.120000,7.208615,-0.550009,-1.874181,25,70,31,85,-0.000003,-0.000013,0.022180
0.130000,7.208636,-0.548889,-1.875221,26,71,31,85,0.000127,-0.000030,-2.278791
0.140000,7.208723,-0.549677,-1.876480,27,70,31,84,0.000035,-0.000042,0.405675
0.150000,7.208550,-0.550121,-1.879083,26,70,31,85,-0.000057,-0.000073,-0.233484
0.160000,7.208326,-0.550491,-1.880121,26,70,31,84,-0.000054,-0.000041,0.533507
0.170000,7.208472,-0.549041,-1.881015,25,70,31,84,-0.000111,0.000002,-2.023128
0.181000,7.208559,-0.551147,-1.881652,25,71,31,85,-0.000144,-0.000023,-1.511801
0.191000,7.208706,-0.552199,-1.881674,26,70,31,84,-0.000106,-0.000032,-1.511801
0.201000,7.208539,-0.552031,-1.884638,26,70,31,85,-0.000061,-0.000009,0.022180
0.211000,7.208400,-0.550660,-1.885308,26,70,32,85,0.000013,-0.000003,0.277843
0.221000,7.208128,-0.552414,-1.887304,26,70,31,85,-0.000010,0.000008,-1.767464
0.231000,7.208373,-0.552132,-1.887379,26,70,31,85,-0.000060,-0.000026,-0.616979
