time,lift,roll,pitch
0.004000,7.693184,-0.840968,-1.711184
0.014000,7.693078,-0.839783,-1.711877
0.024000,7.693137,-0.840087,-1.712193
0.034000,7.693047,-0.840156,-1.709862
0.044000,7.693209,-0.838292,-1.710704
0.054000,7.693214,-0.838809,-1.713213
0.064000,7.693099,-0.840121,-1.714303
0.075000,7.693032,-0.840289,-1.713377
0.085000,7.693264,-0.841577,-1.712511
0.095000,7.692810,-0.842063,-1.714082
0.105000,7.693120,-0.842539,-1.712735
0.115000,7.693152,-0.842461,-1.710649
0.125000,7.693100,-0.842198,-1.709739
0.135000,7.693151,-0.840852,-1.711360
0.145000,7.692977,-0.839440,-1.712908
0.155000,7.692835,-0.840576,-1.712130
0.165000,7.693399,-0.837656,-1.712505
0.176000,7.693086,-0.837083,-1.712504
0.186000,7.692961,-0.838468,-1.712789
0.196000,7.693190,-0.836715,-1.712851
0.206000,7.693130,-0.836380,-1.712298
0.216000,7.693179,-0.836937,-1.711136
0.226000,7.693181,-0.839083,-1.714263
0.236000,7.693187,-0.839448,-1.713074
0.246000,7.693101,-0.841415,-1.711666
0.256000,7.692994,-0.842197,-1.712918
0.266000,7.693305,-0.839176,-1.711198
0.276000,7.692930,-0.839866,-1.713973
0.287000,7.692990,-0.840338,-1.714020
0.297000,7.693261,-0.841378,-1.712664
0.307000,7.693044,-0.839030,-1.712106
0.317000,7.693027,-0.839776,-1.710585
0.327000,7.693405,-0.839103,-1.711328
0.337000,7.693283,-0.837566,-1.710475
0.347000,7.693191,-0.836382,-1.709085
0.357000,7.693067,-0.835479,-1.710190
0.367000,7.693052,-0.837728,-1.709076
0.377000,7.693366,-0.835008,-1.706736
0.387000,7.693398,-0.836201,-1.707410
0.398000,7.693116,-0.835100,-1.708440
0.408000,7.693069,-0.835200,-1.706214
0.418000,7.693254,-0.835604,-1.705532
0.428000,7.693433,-0.834459,-1.704987
0.438000,7.693336,-0.833536,-1.705315
0.448000,7.693506,-0.833635,-1.704276
0.458000,7.693101,-0.834224,-1.704165
0.468000,7.693493,-0.833561,-1.704114
0.479000,7.693218,-0.834360,-1.703579
0.488000,7.693116,-0.833613,-1.702609
0.499000,7.693397,-0.833811,-1.703540
0.509000,7.693377,-0.834548,-1.703924
0.519000,7.693118,-0.835000,-1.706649
0.529000,7.693194,-0.835723,-1.706100
0.539000,7.693176,-0.836598,-1.706455
0.549000,7.693497,-0.835866,-1.707053
0.559000,7.693188,-0.837165,-1.707544
0.569000,7.693058,-0.836002,-1.705990
0.579000,7.693389,-0.837132,-1.706048
0.589000,7.693249,-0.837167,-1.705240
0.600000,7.693402,-0.835611,-1.707642
0.609000,7.693341,-0.835775,-1.706772
0.620000,7.693191,-0.834542,-1.708235
0.629000,7.693182,-0.834498,-1.707617
0.640000,7.693088,-0.832743,-1.707018
0.650000,7.692921,-0.835111,-1.706619
0.660000,7.693246,-0.833610,-1.707199
0.670000,7.693268,-0.833122,-1.706875
0.680000,7.693255,-0.835327,-1.705766
0.690000,7.693082,-0.835546,-1.706513
0.700000,7.693040,-0.832423,-1.706732
0.711000,7.693101,-0.832816,-1.706041
0.720000,7.693299,-0.833493,-1.702656
0.730000,7.693365,-0.832206,-1.704532
0.740000,7.693378,-0.833672,-1.702432
0.751000,7.692994,-0.831139,-1.702018
0.761000,7.693058,-0.831758,-1.701386
0.771000,7.693312,-0.830597,-1.703063
0.781000,7.693532,-0.830390,-1.702604
0.791000,7.693346,-0.828188,-1.705442
0.801000,7.693259,-0.826888,-1.704757
0.811000,7.693243,-0.827745,-1.704456
0.821000,7.693246,-0.828202,-1.704994
0.831000,7.693063,-0.824553,-1.703695
0.841000,7.693392,-0.823321,-1.702842
0.851000,7.693344,-0.823939,-1.699805
0.861000,7.693325,-0.821649,-1.699718
0.872000,7.693458,-0.823953,-1.700607
0.882000,7.693411,-0.822703,-1.699617
0.892000,7.693216,-0.823388,-1.697510
0.902000,7.693402,-0.824604,-1.698103
0.912000,7.693491,-0.826977,-1.698501
0.922000,7.693496,-0.828710,-1.697965
0.932000,7.693611,-0.825296,-1.696040
0.942000,7.693456,-0.828513,-1.696892
0.952000,7.693362,-0.825312,-1.696975
0.962000,7.693624,-0.823186,-1.697220
0.972000,7.693462,-0.824214,-1.696176
0.983000,7.693521,-0.824840,-1.698439
0.993000,7.693551,-0.823594,-1.697661
1.003000,7.693312,-0.823831,-1.697365
1.013000,7.693399,-0.826379,-1.697370
1.023000,7.693609,-0.825430,-1.695308
1.033000,7.693510,-0.825508,-1.695278
1.043000,7.693297,-0.825088,-1.696349
1.053000,7.693227,-0.823993,-1.696509
1.063000,7.693581,-0.824720,-1.696498
1.073000,7.693516,-0.823897,-1.695230
1.083000,7.693513,-0.823611,-1.694379
1.094000,7.693625,-0.822450,-1.693772
1.104000,7.693526,-0.823921,-1.693873
1.114000,7.693437,-0.824420,-1.693569
1.124000,7.693655,-0.823186,-1.692723
1.134000,7.693660,-0.824397,-1.691197
1.144000,7.693386,-0.823632,-1.692694
1.154000,7.693434,-0.824625,-1.691847
1.164000,7.693515,-0.823254,-1.692689
1.174000,7.693504,-0.821412,-1.693768
1.184000,7.693300,-0.820031,-1.693832
1.194000,7.693300,-0.820036,-1.695166
1.204000,7.693422,-0.819880,-1.695216
1.215000,7.693235,-0.819290,-1.694980
1.225000,7.693208,-0.822194,-1.696138
1.235000,7.693263,-0.819790,-1.694259
1.245000,7.693410,-0.819423,-1.695481
1.255000,7.693326,-0.818978,-1.695996
1.265000,7.693500,-0.819598,-1.694984
1.275000,7.693411,-0.816981,-1.695731
1.285000,7.693282,-0.819179,-1.695216
1.295000,7.693346,-0.818796,-1.697338
1.305000,7.693279,-0.819237,-1.697468
1.315000,7.693277,-0.817796,-1.696543
1.325000,7.693190,-0.818780,-1.696322
1.335000,7.693371,-0.821667,-1.695437
1.345000,7.693435,-0.820758,-1.696733
1.356000,7.693224,-0.822609,-1.697837
1.366000,7.693266,-0.821117,-1.696614
1.376000,7.693338,-0.820975,-1.696082
1.386000,7.693364,-0.820554,-1.694238
1.396000,7.693404,-0.820213,-1.693034
1.406000,7.693378,-0.819776,-1.692495
1.416000,7.693641,-0.819266,-1.691772
1.426000,7.693463,-0.817832,-1.692262
1.436000,7.693193,-0.818344,-1.692939
1.446000,7.693236,-0.817980,-1.692072
1.456000,7.693411,-0.815503,-1.691212
1.467000,7.693360,-0.815673,-1.692286
1.477000,7.693455,-0.814755,-1.691493
1.487000,7.693532,-0.814490,-1.691534
1.497000,7.693654,-0.813949,-1.691290
1.507000,7.693581,-0.813026,-1.692896
1.517000,7.693421,-0.811309,-1.692590
1.527000,7.693627,-0.811343,-1.690749
1.537000,7.693645,-0.810784,-1.691572
1.547000,7.693564,-0.810493,-1.690271
1.557000,7.693289,-0.812208,-1.689363
1.567000,7.693624,-0.812116,-1.688436
1.577000,7.693521,-0.812256,-1.687064
1.587000,7.693668,-0.812008,-1.687839
1.597000,7.693640,-0.814905,-1.686477
1.608000,7.693606,-0.812889,-1.686828
1.618000,7.693402,-0.813078,-1.686579
1.628000,7.693668,-0.813065,-1.688902
1.638000,7.693520,-0.814330,-1.688309
1.648000,7.693549,-0.816071,-1.688675
1.658000,7.693583,-0.813989,-1.690012
1.668000,7.693532,-0.812685,-1.689309
1.678000,7.693715,-0.812671,-1.689175
1.688000,7.693395,-0.812198,-1.690242
1.698000,7.693371,-0.812198,-1.688111
1.709000,7.693476,-0.810950,-1.689949
1.719000,7.693425,-0.811008,-1.689054
1.729000,7.693584,-0.813703,-1.687810
1.739000,7.693712,-0.813150,-1.688569
1.749000,7.693598,-0.813180,-1.688068
1.759000,7.693552,-0.813771,-1.688949
1.769000,7.693693,-0.813956,-1.687303
1.779000,7.693480,-0.814394,-1.686757
1.789000,7.693613,-0.812573,-1.687022
1.799000,7.693438,-0.812987,-1.688017
1.810000,7.693554,-0.811947,-1.688558
1.820000,7.693479,-0.811100,-1.688726
1.830000,7.693492,-0.809618,-1.687081
1.840000,7.693657,-0.808584,-1.686138
1.850000,7.693577,-0.808970,-1.685299
1.860000,7.693399,-0.808250,-1.683620
1.870000,7.693504,-0.808593,-1.683401
1.880000,7.693826,-0.807752,-1.681370
1.890000,7.693757,-0.807197,-1.681592
1.900000,7.693695,-0.806182,-1.680729
1.910000,7.693668,-0.805664,-1.680343
1.920000,7.693629,-0.807231,-1.680762
1.930000,7.693769,-0.807105,-1.681141
1.940000,7.693529,-0.808188,-1.679605
1.951000,7.693639,-0.807366,-1.680505
1.961000,7.693656,-0.805171,-1.678792
1.971000,7.693906,-0.804823,-1.678527
1.981000,7.693808,-0.806888,-1.677438
1.991000,7.693737,-0.803042,-1.678258
2.001000,7.693830,-0.802250,-1.676834
2.011000,7.693727,-0.802417,-1.677617
2.021000,7.693651,-0.803296,-1.676268
2.031000,7.693808,-0.801836,-1.675999
2.041000,7.693809,-0.802891,-1.676150
2.051000,7.693794,-0.803244,-1.675774
2.062000,7.693739,-0.804822,-1.675488
2.071000,7.693906,-0.803886,-1.673696
2.082000,7.693744,-0.802876,-1.674097
2.092000,7.693747,-0.801611,-1.673560
2.102000,7.693854,-0.801250,-1.673125
2.112000,7.693854,-0.802004,-1.673762
2.123000,7.693605,-0.801644,-1.674722
2.132000,7.693973,-0.801091,-1.675458
2.142000,7.693826,-0.803241,-1.676257
2.152000,7.693633,-0.800921,-1.675652
2.162000,7.693611,-0.802683,-1.676901
2
