time,lift,roll,pitch
2951908988,28.743263,0.012519,-0.252572
2951908998,28.736792,0.021907,-0.097021
2951909008,28.712458,0.079006,0.109120
2951909018,28.651726,0.122530,0.265326
2951909028,28.621092,0.137835,0.299092
2951909038,28.616493,0.154266,0.266753
2951909048,28.608576,0.130590,0.255547
2951909059,28.604471,-0.128610,0.237355
2951909068,28.600983,-0.503928,0.175489
2951909079,28.598204,-0.763821,0.077146
2951909089,28.595409,-0.957858,-0.060872
2951909099,28.594616,-1.053934,-0.186088
2951909109,28.596300,-1.002872,-0.249913
2951909119,28.219097,-0.861637,-0.250286
2951909129,28.262600,-0.700696,-0.134084
2951909139,28.448534,-0.340660,0.030626
2951909149,28.542271,-0.128434,0.099617
2951909159,28.513781,-0.130171,0.068718
2951909169,28.541521,-0.206862,-0.107666
2951909179,28.514198,-0.225885,-0.266686
2951909189,28.518986,-0.170590,-0.283346
2951909200,28.523054,-0.116140,-0.190713
2951909210,28.528999,-0.125553,-0.067689
2951909220,28.527987,-0.161020,0.016411
2951909230,28.527515,-0.132765,0.041197
2951909240,28.533718,-0.054068,0.035507
2951909250,28.541323,-0.019903,0.020314
2951909260,28.550083,0.024552,-0.068077
2951909270,28.563408,0.079803,-0.215265
2951909280,28.580576,0.174107,-0.381394
2951909290,28.588783,0.300621,-0.476572
2951909300,28.589130,0.315649,-0.472881
2951909311,28.597332,0.203701,-0.382034
2951909321,28.407515,0.059079,-0.254697
2951909331,28.545708,0.172616,-0.169368
2951909341,28.710947,0.341690,-0.139621
2951909351,28.716356,0.305079,-0.153662
2951909361,28.733746,0.252531,-0.182049
2951909371,28.743378,0.160210,-0.257988
2951909381,28.723192,0.094503,-0.321283
2951909391,28.722349,0.060093,-0.263503
2951909401,28.709793,0.055689,-0.124910
2951909411,28.679598,0.088365,0.014217
2951909421,28.647175,0.122712,0.091709
2951909432,28.640833,0.158338,0.117410
2951909442,28.637154,0.132467,0.101482
2951909452,28.635750,0.108800,0.084001
2951909462,28.636190,0.078101,0.058948
2951909472,28.635069,0.061790,0.027168
2951909482,28.633875,0.164229,-0.024346
2951909492,28.629879,0.264364,-0.024649
2951909502,28.453949,0.364367,0.028611
2951909512,28.263077,0.387485,0.051337
2951909523,28.362083,0.346327,0.098386
2951909533,28.494183,0.394589,0.095890
2951909543,28.507668,0.441584,0.105675
2951909553,28.511385,0.388788,0.087647
2951909563,28.507921,0.324798,0.013981
2951909573,28.494476,0.282180,-0.023186
2951909583,28.491514,0.275779,0.023649
2951909593,28.489239,0.290940,0.122156
2951909603,28.481272,0.299004,0.200204
2951909613,28.477085,0.315396,0.215827
2951909623,28.483217,0.381906,0.202648
2951909634,28.493387,0.467409,0.144276
2951909644,28.510424,0.532491,0.014009
2951909654,28.541004,0.623315,-0.140573
2951909664,28.551201,0.768698,-0.273705
2951909674,28.571102,0.913407,-0.350580
2951909684,28.565779,0.907670,-0.335065
2951909694,28.587904,0.756057,-0.240318
2951909704,28.401133,0.403584,-0.054081
2951909714,28.480396,0.251383,0.104759
2951909724,28.669123,0.289228,0.142779
2951909735,28.733053,0.400386,0.046415
2951909745,28.758871,0.416127,-0.068989
2951909755,28.807026,0.332752,-0.176704
2951909765,28.823126,0.189546,-0.204439
2951909775,28.812290,0.145078,-0.103273
2951909785,28.792316,0.201730,0.101121
2951909795,28.778345,0.290444,0.282003
2951909805,28.753880,0.375921,0.379229
2951909815,28.726439,0.410631,0.403905
2951909825,28.700018,0.471122,0.440772
2951909835,28.695826,0.428354,0.481286
2951909845,28.673475,0.241206,0.451921
2951909856,28.660452,0.051095,0.343167
2951909866,28.639721,-0.094694,0.205871
2951909876,28.618071,-0.229202,0.087647
2951909886,28.593203,-0.413059,-0.001238
2951909896,28.152382,-0.501804,-0.016530
2951909906,28.173452,-0.480319,0.047746
2951909916,28.317429,-0.323218,0.171590
2951909926,28.338411,-0.012685,0.245840
2951909936,28.360373,0.050627,0.231243
2951909946,28.341442,0.026063,0.045983
2951909956,28.288937,0.028678,-0.156897
2951909967,28.269815,0.082307,-0.253104
2951909977,28.255289,0.118921,-0.196908
2951909987,28.257236,0.115736,-0.021172
2951909997,28.263330,0.129313,0.134427
2951910007,28.238731,0.141611,0.180447
2951910017,28.223267,0.260571,0.161266
2951910030,28.227020,0.359920,0.032761
2951910037,28.263548,0.491102,-0.161508
2951910047,28.303459,0.656088,-0.365794
2951910057,28.299097,0.944894,-0.526447
2951910068,28.268400,1.124418,-0.617880
2951910078,28.233734,1.095707,-0.625817
2951910088,28.195391,0.788386,-0.422223
2951910098,27.910889,0.496079,-0.016866
2951910108,28.202196,0.636348,0.206765
2951910118,28.175518,0.851522,0.384167
2951910128,28.258476,0.965183,0.496556
2951910138,28.285456,1.048460,0.453602
2951910148,28.269651,1.126400,0.316405
2951910158,28.240517,1.143296,0.180568
2951910168,28.213167,1.173942,0.150195
2951910179,28.179491,1.229669,0.286456
2951910189,28.183369,1.218922,0.485187
2951910199,28.167334,1.191389,0.657909
2951910209,28.099445,1.193048,0.879361
2951910219,28.058838,1.201965,1.090816
2951910229,28.060774,1.090292,1.180768
2951910239,28.047115,0.749593,1.113434
2951910249,28.012243,0.236426,0.892460
2951910260,27.970287,-0.246258,0.636212
2951910269,27.953806,-0.737201,0.410760
2951910280,27.283684,-1.300516,0.296607
2951910290,27.530224,-1.559538,0.449470
2951910300,27.702423,-1.210736,0.694962
2951910310,27.741295,-0.868670,0.798007
2951910320,27.831367,-0.756232,0.769642
2951910330,27.871593,-0.689255,0.561331
2951910340,27.821964,-0.541514,0.310357
2951910350,27.869066,-0.227864,0.199126
2951910360,27.921003,0.051148,0.241990
2951910370,27.985378,0.230245,0.395041
2951910380,28.044731,0.286670,0.496625
2951910391,28.054417,0.279212,0.500088
2951910401,28.147654,0.280467,0.497373
2951910411,28.219219,0.239994,0.392407
2951910421,28.274807,0.182541,0.189817
2951910431,28.356874,0.245304,-0.096938
2951910441,28.344730,0.382488,-0.301274
2951910451,28.311657,0.426192,-0.405089
2951910461,28.302876,0.446162,-0.380053
2951910471,28.292686,0.336070,-0.134147
2951910482,27.809065,0.109339,0.321641
2951910493,28.111044,0.383009,0.521310
2951910502,28.168873,0.777187,0.712354
2951910512,28.299654,1.064851,0.783398
2951910522,28.369730,1.217827,0.701173
2951910532,28.419909,1.340296,0.575137
2951910543,28.447178,1.375876,0.463357
2951910552,28.485888,1.400885,0.584687
2951910563,28.526587,1.402430,0.819291
2951910572,28.502794,1.344092,1.053185
2951910582,28.493477,1.217359,1.297927
2951910592,28.507753,1.005785,1.590105
2951910602,28.523409,0.786164,1.814428
2951910612,28.560411,0.427015,1.902469
2951910623,28.561745,-0.063017,1.778134
