time,lift,roll,pitch,foot1,foot2,foot3,foot4
0.010000,28.695635,-1.894954,0.200550,215,2,1,226
0.020000,28.709877,-1.854101,0.082977,190,3,1,255
0.030000,28.727575,-1.704232,-0.001465,178,4,2,283
0.040000,28.728413,-1.592574,-0.015292,181,4,3,287
0.050000,28.737310,-1.648940,0.062856,191,4,3,284
0.060000,28.495888,-1.945355,0.325145,239,114,115,244
0.070000,28.557592,-2.126317,0.397132,122,232,107,121
0.081000,28.670963,-2.129473,0.376829,7,275,126,12
0.091000,28.740988,-2.078620,0.216450,-11,256,179,-8
0.101000,28.752306,-2.098133,0.104520,-12,240,201,-12
0.111000,28.805622,-2.169515,0.061886,-13,233,248,-12
0.121000,28.807571,-2.231629,0.104870,-12,242,268,-11
0.131000,28.802317,-2.243691,0.229864,-12,265,260,-11
0.141000,28.783270,-2.215624,0.379785,-11,300,238,-10
0.151000,28.759310,-2.172726,0.479890,-10,327,215,-9
0.162000,28.752619,-2.172867,0.502767,-9,341,214,-9
0.172000,28.751802,-2.222400,0.457621,-8,340,217,-8
0.182000,28.754568,-2.277750,0.404674,-9,329,217,-8
0.192000,28.761377,-2.333959,0.330796,-8,311,218,-6
0.202000,28.780243,-2.372811,0.232198,-8,290,231,-6
0.212000,28.796349,-2.420737,0.123399,-6,271,256,-6
0.222000,28.794691,-2.412617,0.078908,-6,257,264,-6
0.232000,28.798899,-2.283904,0.119841,-6,257,263,-6
0.242000,28.803131,-2.082505,0.214224,-5,266,260,-5
0.252000,28.796568,-1.930556,0.314781,-1,278,252,44
0.263000,28.487673,-1.762953,0.444664,138,272,226,118
0.273000,28.597462,-1.745798,0.512452,184,94,82,123
0.283000,28.713587,-1.902453,0.465170,224,11,9,162
0.293000,28.721500,-1.994348,0.308302,216,0,-1,176
0.303000,28.744143,-1.982723,0.140423,193,-1,-2,205
0.313000,28.780010,-1.832143,0.018324,173,-2,-2,277
0.323000,28.759443,-1.613906,0.011323,173,-2,-2,282
0.333000,28.755375,-1.514700,0.121820,191,-1,-1,272
0.343000,28.761614,-1.562207,0.276808,226,0,0,255
0.354000,28.741375,-1.740511,0.386714,257,0,0,227
0.364000,28.716166,-1.952048,0.393180,255,2,1,209
0.374000,28.718918,-2.043257,0.332467,245,2,2,218
0.384000,28.734365,-2.033505,0.309590,245,1,1,218
0.394000,28.740194,-2.038677,0.249190,233,4,1,222
0.404000,28.751644,-2.065051,0.130920,210,4,2,243
0.414000,28.761124,-1.969267,0.015609,188,4,4,279
0.424000,28.760290,-1.805251,-0.042776,185,5,3,293
0.435000,28.765865,-1.767555,-0.007609,191,5,3,294
0.445000,28.778986,-1.900917,0.116600,209,5,4,284
0.455000,28.505886,-2.153824,0.271092,240,111,99,245
0.465000,28.585073,-2.467513,0.325150,124,216,108,127
0.475000,28.691875,-2.604083,0.312859,7,263,118,13
0.485000,28.782257,-2.539243,0.176013,-12,256,174,-8
0.495000,28.784286,-2.544819,0.066058,-14,242,192,-13
0.505000,28.834778,-2.539130,0.018091,-14,230,253,-13
0.515000,28.826090,-2.486478,0.102564,-12,243,260,-12
0.526000,28.813023,-2.436940,0.264155,-12,274,246,-11
0.536000,28.780252,-2.366784,0.410666,-11,312,215,-11
0.546000,28.756687,-2.276386,0.470846,-10,333,202,-10
0.556000,28.748390,-2.246565,0.447046,-9,337,208,-9
0.566000,28.750584,-2.300075,0.384167,-9,334,217,-9
0.576000,28.756376,-2.381527,0.323241,-8,326,219,-9
0.586000,28.762684,-2.444321,0.242561,-7,308,225,-7
0.596000,28.773903,-2.496272,0.129968,-7,288,240,-6
0.606000,28.779402,-2.547057,0.047999,-7,271,253,-7
0.618000,28.779486,-2.558643,0.034428,-7,265,251,-7
0.627000,28.779835,-2.500281,0.074350,-6,264,246,-6
0.637000,28.779518,-2.400095,0.134228,-6,268,244,-7
0.647000,28.540388,-2.264275,0.208998,49,275,243,144
0.657000,28.495344,-2.139033,0.259895,153,199,181,125
0.667000,28.660032,-2.099479,0.270547,183,35,36,176
0.677000,28.716330,-2.094960,0.209773,204,3,2,201
0.687000,28.721725,-2.061621,0.144084,201,-1,-1,197
0.697000,28.739199,-2.030204,0.026973,186,-2,-2,223
0.709000,28.748560,-1.922028,-0.047469,170,-2,-1,273
0.718000,28.733122,-1.758572,-0.007881,175,-1,-1,277
0.728000,28.737289,-1.710012,0.117235,204,0,0,267
0.738000,28.737289,-1.841533,0.252197,237,0,0,251
0.748000,28.709961,-2.061829,0.329406,255,0,1,222
0.758000,28.697664,-2.236617,0.311334,251,1,1,211
0.768000,28.711096,-2.260962,0.276017,247,2,2,217
0.778000,28.724184,-2.260143,0.234043,246,2,1,213
0.788000,28.732580,-2.309375,0.143674,224,4,2,226
0.798000,28.738138,-2.271733,0.008187,195,3,3,255
0.809000,28.754642,-2.069293,-0.093040,181,4,4,292
0.819000,28.750732,-1.894981,-0.117569,182,4,4,295
0.829000,28.759903,-1.898405,-0.045124,195,5,4,291
0.839000,28.780317,-2.015086,0.106631,224,11,19,271
0.849000,28.558708,-2.268205,0.248216,225,181,129,211
0.859000,28.618124,-2.482062,0.292356,58,237,110,65
0.870000,28.740871,-2.486307,0.232729,-5,270,139,0
0.879000,28.792953,-2.444202,0.080380,-13,256,183,-11
0.890000,28.798983,-2.433401,-0.009464,-14,235,203,-14
0.900000,28.849634,-2.439994,-0.021646,-13,230,257,-14
0.910000,28.838736,-2.415818,0.059435,-13,240,264,-13
0.920000,28.831192,-2.371988,0.239499,-11,275,250,-12
0.930000,28.800747,-2.301515,0.384290,-10,315,217,-11
0.940000,28.775383,-2.191108,0.442747,-10,334,203,-11
0.950000,28.767195,-2.140957,0.380190,-8,334,215,-9
0.960000,28.769037,-2.216167,0.311181,-8,329,222,-9
0.970000,28.774420,-2.280915,0.237705,-8,318,224,-7
0.981000,28.784344,-2.317624,0.159872,-7,296,237,-8
0.991000,28.790838,-2.387466,0.050440,-7,276,253,-7
1.001000,28.791317,-2.433950,0.005730,-6,265,261,-7
1.011000,28.791014,-2.422036,0.030477,-6,265,257,-6
1.021000,28.790314,-2.324594,0.094989,-6,269,253,-6
1.031000,28.785404,-2.200709,0.169113,-3,275,249,36
1.041000,28.486532,-2.061320,0.248977,140,276,237,130
1.051000,28.577160,-1.986446,0.295295,167,109,101,133
1.062000,28.713226,-1.974516,0.267897,201,14,14,187
1.072000,28.730202,-1.967384,0.182799,208,0,0,195
1.082000,28.740099,-1.920929,0.083694,194,-1,-1,202
1.092000,28.770224,-1.833771,-0.009762,182,-2,-2,254
1.102000,28.757864,-1.679649,-0.027736,172,-2,-2,276
1.112000,28.755224,-1.577872,0.065821,191,-1,0,270
1.122000,28.761677,-1.646676,0.197976,225,0,0,258
1.132000,28.739157,-1.835606,0.300231,252,0,0,233
1.142000,28.713900,-2.050282,0.315081,256,1,1,211
1.153000,28.713671,-2.131021,0.262385,244,2,2,219
1.163000,28.727457,-2.103021,0.251199,247,2,2,218
1.173000,28.731710,-2.134391,0.210182,236,3,3,220
1.184000,28.736370,-2.167747,0.105015,215,4,4,234
1.193000,28.741064,-2.064951,-0.018539,195,4,4,266
1.203000,28.749615,-1.910884,-0.092857,189,5,4,290
1.213000,28.743378,-1.865234,-0.079758,189,5,4,293
1.224000,28.757366,-1.964294,0.023648,204,6,5,290
1.233000,28.467903,-2.138695,0.175826,235,85,84,263
1.244000,28.545687,-2.418932,0.251348,145,213,113,147
1.254000,28.648129,-2.546638,0.259128,11,259,116,17
1.264000,28.756561,-2.520248,0.130769,-11,268,173,-9
1.274000,28.756908,-2.519728,0.003864,-14,250,191,-13
1.285000,28.789425,-2.517014,-0.058943,-14,228,231,-13
1.294000,28.811247,-2.488149,-0.025153,-14,233,268,-13
1.304000,28.804043,-2.434399,0.100422,-13,254,265,-12
1.314000,28.786560,-2.377325,0.269542,-12,295,240,-11
1.324000,28.747124,-2.271333,0.386528,-11,327,206,-10
1.334000,28.731739,-2.166028,0.414437,-10,338,201,-10
1.345000,28.730709,-2.162970,0.356850,-9,337,213,-9
1.355000,28.733847,-2.246316,0.280139,-9,333,219,-9
1.365000,28.739225,-2.323581,0.211266,-8,322,222,-8
1.375000,28.745010,-2.370576,0.135953,-8,300,229,-8
1.385000,28.753237,-2.425716,0.023358,-8,282,241,-7
1.395000,28.756710,-2.474324,-0.051079,-7,265,253,-7
1.405000,28.756502,-2.427599,-0.019347,-6,267,250,-6
1.415000,28.756390,-2.320356,0.037662,-5,271,249,-6
1.426000,28.429184,-2.161580,0.103986,60,278,248,131
1.436000,28.457439,-2.046643,0.154245,146,185,169,123
1.446000,28.635454,-1.975299,0.173205,178,37,34,194
1.456000,28.673618,-1.937036,0.153489,203,3,2,209
1.466000,28.683573,-1.889131,0.117998,208,-2,-1,203
1.476000,28.690641,-1.884496,0.035048,195,-2,-2,219
1.486000,28.697533,-1.845244,-0.034641,184,-2,-1,262
1.496000,28.676214,-1.724176,-0.016409,179,-1,-1,276
1.506000,28.679600,-1.674627,0.097456,209,0,0,267
