Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.007000,7.209219,-0.566922,-1.857833,26,70,31,84,-0.000045,-0.000054,0.789170
0.017000,7.208951,-0.565148,-1.859239,25,70,31,84,0.000026,-0.000055,1.683992
0.027000,7.208994,-0.567673,-1.859243,25,71,32,84,0.000065,-0.000045,-0.616979
0.038000,7.209054,-0.568782,-1.859224,26,71,31,85,-0.000014,-0.000064,-0.105652
0.048000,7.209001,-0.569514,-1.859073,25,71,32,84,0.000022,0.000002,1.683992
0.058000,7.209270,-0.571511,-1.860414,25,71,32,85,0.000036,0.000002,0.405675
0.068000,7.209051,-0.570806,-1.861318,25,71,31,85,0.000104,0.000013,0.405675
0.078000,7.209064,-0.570437,-1.860469,25,71,31,84,0.000047,0.000020,0.405675
0.088000,7.208940,-0.572533,-1.859189,25,71,31,84,-0.000066,0.000016,0.533507
0.098000,7.208972,-0.571708,-1.857790,25,70,32,84,-0.000057,0.000028,1.556160
0.109000,7.209177,-0.571246,-1.856464,26,71,31,84,0.000004,0.000064,0.789170
0.119000,7.209262,-0.570326,-1.858300,25,71,31,84,-0.000018,0.000026,-0.489147
0.129000,7.208875,-0.569770,-1.856397,25,70,30,85,-0.000026,0.000002,-1.895296
0.139000,7.209186,-0.571157,-1.858420,25,71,31,84,-0.000078,-0.000014,-1.000474
0.149000,7.209256,-0.572358,-1.856978,26,71,31,84,-0.000045,-0.000020,-0.616979
0.159000,7.209270,-0.573771,-1.857383,26,71,31,85,-0.000043,0.000015,1.300497
0.169000,7.209130,-0.573985,-1.860211,25,71,31,84,0.000035,0.000038,-0.105652
0.180000,7.209091,-0.576083,-1.861312,26,71,31,85,0.000030,0.000019,1.300497
0.190000,7.209128,-0.575849,-1.861881,26,70,31,84,-0.000086,0.000011,1.428329
0.200000,7.209042,-0.580351,-1.863203,26,70,32,84,-0.000079,0.000019,2.450983
0.210000,7.209028,-0.580690,-1.864790,26,71,32,85,-0.000026,0.000036,0.917002
0.220000,7.208894,-0.580684,-1.863039,26,71,31,84,-0.000028,0.000077,1.300497
0.230000,7.209031,-0.578261,-1.862584,26,71,31,84,-0.000057,0.000074,-0.361315
0.240000,7.208949,-0.579417,-1.862449,25,71,31,84,-0.000004,0.000028,-0.233484
0.251000,7.209034,-0.578017,-1.861092,25,71,31,84,-0.000031,0.000022,0.533507
0.261000,7.209177,-0.578587,-1.859295,26,71,30,84,-0.000059,-0.000004,-0.105652
0.271000,7.209041,-0.577582,-1.858474,25,70,31,84,-0.000043,-0.000021,1.044834
0.281000,7.209133,-0.576179,-1.856007,25,71,31,85,0.000019,-0.000002,-1.000474
0.291000,7.209119,-0.574737,-1.854862,25,70,30,85,0.000016,-0.000012,1.044834
0.301000,7.209304,-0.573600,-1.854384,25,71,31,85,0.000081,-0.000017,0.661338
0.311000,7.209234,-0.575080,-1.853703,26,70,32,84,0.000084,-0.000038,0.661338
0.322000,7.209259,-0.575516,-1.855701,26,70,31,84,0.000067,-0.000045,-0.105652
0.332000,7.209143,-0.577733,-1.855636,26,71,31,84,0.000031,-0.000011,0.789170
0.342000,7.209084,-0.579160,-1.855879,26,71,31,84,-0.000067,0.000022,0.661338
0.352000,7.209203,-0.579161,-1.859525,26,71,31,85,-0.000077,0.000009,0.150012
0.362000,7.209138,-0.581440,-1.860230,25,71,32,84,-0.000037,0.000020,0.533507
0.372000,7.208982,-0.581141,-1.862558,26,70,31,84,-0.000077,0.000029,0.533507
0.382000,7.208967,-0.580518,-1.864931,26,70,31,84,-0.000087,0.000024,0.022180
0.393000,7.208865,-0.580205,-1.865902,26,71,31,84,-0.000119,0.000015,0.150012
0.403000,7.208779,-0.578732,-1.866952,26,71,31,84,-0.000096,-0.000016,1.811824
0.413000,7.208932,-0.579128,-1.868733,26,70,31,85,-0.000051,-0.000053,0.022180
0.423000,7.208729,-0.579754,-1.868996,26,70,30,85,-0.000057,-0.000092,-0.744811
0.433000,7.208899,-0.577789,-1.869978,25,70,31,85,-0.000022,-0.000082,-0.233484
0.443000,7.209031,-0.577502,-1.869829,26,70,31,84,-0.000030,-0.000038,0.405675
0.453000,7.208821,-0.577131,-1.870763,25,70,31,84,0.000024,-0.000062,0.533507
0.464000,7.208644,-0.577116,-1.872378,25,71,31,84,0.000063,-0.000078,0.917002
0.474000,7.208745,-0.576804,-1.873526,26,70,31,84,0.000129,-0.000077,1.044834
0.484000,7.208668,-0.578593,-1.873854,26,71,31,85,-0.000003,-0.000055,-3.429277
0.494000,7.208697,-0.578124,-1.875492,26,71,31,84,-0.000050,-0.000056,-0.489147
0.504000,7.208619,-0.578962,-1.875651,26,70,31,85,-0.000039,-0.000021,0.917002
0.514000,7.208532,-0.578858,-1.878310,25,71,32,84,-0.000039,-0.000003,1.172665
0.525000,7.208677,-0.579133,-1.876750,25,70,31,85,-0.000048,0.000009,-1.000474
0.535000,7.208633,-0.577412,-1.878260,26,70,31,84,-0.000077,0.000003,-1.256137
0.545000,7.208527,-0.577508,-1.877647,26,70,31,85,-0.000102,-0.000010,0.789170
0.555000,7.208526,-0.575892,-1.876591,26,71,31,84,-0.000111,0.000003,0.789170
0.565000,7.208755,-0.574972,-1.873705,25,71,31,85,-0.000064,-0.000029,-0.744811
0.575000,7.208709,-0.575517,-1.873015,25,72,31,85,0.000006,-0.000035,1.939656
0.585000,7.208692,-0.574661,-1.871694,26,70,31,85,0.000050,-0.000026,3.345804
0.596000,7.208869,-0.573917,-1.869259,26,70,31,84,0.000079,0.000001,-0.233484
0.605000,7.208709,-0.573713,-1.868389,26,70,31,85,0.000048,0.000005,0.917002
0.616000,7.208857,-0.574625,-1.867651,25,70,31,85,0.000046,-0.000014,1.172665
0.626000,7.208907,-0.572082,-1.866379,25,71,31,85,0.000096,-0.000015,1.044834
0.636000,7.208730,-0.573531,-1.866318,26,70,31,84,0.000024,-0.000013,-0.489147
0.646000,7.208836,-0.573824,-1.865892,25,71,31,84,0.000118,-0.000013,0.533507
0.656000,7.208747,-0.572351,-1.868287,26,70,32,84,0.000104,-0.000042,-1.511801
0.666000,7.208836,-0.572807,-1.869722,27,70,31,85,0.000080,-0.000033,0.789170
0.676000,7.208813,-0.571392,-1.869175,26,71,31,85,0.000007,-0.000058,1.300497
0.686000,7.208852,-0.571269,-1.870717,26,71,31,85,0.000007,-0.000036,0.022180
0.697000,7.208806,-0.571564,-1.871905,26,71,31,85,0.000028,-0.000054,0.917002
0.707000,7.208844,-0.571387,-1.873999,26,70,32,85,0.000002,-0.000078,-2.662286
0.717000,7.208711,-0.571034,-1.875303,26,71,31,84,0.000011,-0.000070,0.405675
0.727000,7.208723,-0.571323,-1.877100,26,71,31,84,-0.000021,-0.000057,1.044834
0.737000,7.208528,-0.572503,-1.878366,26,71,30,84,-0.000072,-0.000039,0.150012
0.747000,7.208626,-0.571038,-1.878720,26,70,31,85,-0.000081,-0.000049,-0.872642
0.757000,7.208677,-0.569660,-1.879805,26,70,31,85,-0.000061,-0.000013,-1.767464
0.768000,7.208340,-0.570907,-1.880480,26,71,31,85,-0.000034,-0.000057,1.683992
0.778000,7.208467,-0.570079,-1.882501,25,71,31,84,-0.000047,-0.000053,1.556160
0.788000,7.208403,-0.568321,-1.881052,26,70,31,84,0.000008,-0.000015,-1.128306
0.798000,7.208354,-0.566802,-1.880841,26,71,31,85,-0.000030,-0.000050,0.405675
0.808000,7.208305,-0.567012,-1.880994,25,71,31,85,-0.000020,-0.000079,-0.233484
0.818000,7.208527,-0.567118,-1.878038,26,71,31,84,-0.000021,-0.000087,-0.233484
0.829000,7.208715,-0.567395,-1.876025,26,70,31,84,-0.000007,-0.000067,2.450983
0.839000,7.208804,-0.567908,-1.876407,26,71,31,84,0.000061,-0.000011,-0.105652
0.849000,7.208544,-0.569073,-1.875727,26,71,31,84,0.000119,0.000020,1.428329
0.859000,7.208680,-0.569821,-1.874585,25,70,31,85,0.000071,0.000044,1.172665
0.869000,7.208708,-0.568198,-1.873109,26,70,31,84,-0.000031,0.000048,-1.511801
0.879000,7.208874,-0.567444,-1.872246,26,70,31,84,-0.000043,0.000034,-1.639633
0.889000,7.208854,-0.566141,-1.869742,26,71,31,85,-0.000003,0.000007,2.450983
0.899000,7.208980,-0.566238,-1.869033,25,71,31,84,-0.000016,0.000003,-0.872642
0.910000,7.208781,-0.565138,-1.868595,26,70,31,84,0.000015,-0.000001,0.150012
0.920000,7.208753,-0.562477,-1.869272,26,70,31,85,0.000044,-0.000019,1.556160
0.930000,7.208772,-0.562586,-1.869259,26,70,31,84,-0.000045,-0.000046,-1.000474
0.940000,7.208793,-0.560598,-1.868410,26,71,31,84,-0.000048,-0.000022,-2.406623
0.950000,7.208828,-0.560745,-1.867966,26,71,31,85,-0.000065,-0.000072,-0.616979
0.960000,7.209077,-0.563405,-1.869635,25,71,31,85,0.000020,-0.000058,1.172665
0.970000,7.208776,-0.563275,-1.870958,25,71,32,84,0.000037,-0.000045,3.090142
0.981000,7.208733,-0.563257,-1.872590,26,70,32,84,0.000013,0.000006,-0.744811
0.991000,7.208656,-0.563363,-1.875409,26,71,31,84,-0.000040,0.000003,-0.489147
1.001000,7.208709,-0.563401,-1.876702,26,70,31,84,-0.000047,-0.000026,-1.256137
1.011000,7.208472,-0.564319,-1.878654,26,71,31,85,-0.000081,-0.000026,-1.000474
1.021000,7.208677,-0.564069,-1.880210,26,70,31,85,-0.000163,-0.000023,-0.616979
1.031000,7.208419,-0.564168,-1.879497,26,70,31,84,-0.000131,-0.000021,-3.173613
1.041000,7.208652,-0.566385,-1.877817,26,71,31,85,-0.000117,-0.000018,-1.000474
1.051000,7.208685,-0.565928,-1.876686,26,71,31,85,-0.000060,-0.000035,-0.489147
1.062000,7.208587,-0.565174,-1.878218,26,70,32,85,0.000071,-0.000004,0.150012
1.072000,7.208663,-0.564260,-1.877829,26,71,31,84,0.000123,0.000033,0.533507
1.082000,7.208530,-0.566076,-1.878114,26,71,31,85,0.000033,-0.000013,0.917002
1.092000,7.208529,-0.567020,-1.878823,25,71,32,85,-0.000019,-0.000044,1.300497
1.102000,7.208601,-0.565934,-1.880028,26,70,31,85,-0.000004,-0.000046,-1.000474
1.112000,7.208669,-0.567554,-1.880555,26,72,31,84,-0.000040,0.000013,-1.128306
1.122000,7.208541,-0.566960,-1.880104,26,71,31,84,-0.000068,0.000014,-1.383969
1.133000,7.208480,-0.567011,-1.881106,26,70,31,85,-0.000075,0.000010,0.661338
1.143000,7.208440,-0.566661,-1.881736,26,70,31,84,-0.000044,0.000009,0.789170
1.153000,7.208550,-0.566468,-1.881817,26,71,31,85,-0.000067,-0.000010,-0.616979
1.163000,7.208676,-0.567765,-1.882231,25,70,32,85,-0.000037,-0.000022,0.405675
1.173000,7.208443,-0.569137,-1.882845,25,71,32,84,-0.000050,-0.000036,0.022180
1.183000,7.208224,-0.566708,-1.884639,25,70,31,84,-0.000050,-0.000021,0.277843
1.193000,7.208514,-0.566787,-1.885134,26,70,31,85,-0.000110,0.000017,-0.105652
1.203000,7.208554,-0.565527,-1.883940,26,70,31,85,-0.000102,-0.000021,-0.489147
1.213000,7.208322,-0.565598,-1.883711,26,71,32,84,-0.000123,-0.000043,0.150012
1.223000,7.208438,-0.563031,-1.883380,26,71,31,84,-0.000112,-0.000036,-0.361315
1.234000,7.208554,-0.563255,-1.880896,26,71,31,84,-0.000025,-0.000033,-0.361315
1.244000,7.208539,-0.562996,-1.880032,26,71,31,85,-0.000052,-0.000029,0.661338
1.254000,7.208546,-0.562227,-1.879850,26,70,32,85,-0.000038,-0.000046,-2.278791
1.264000,7.208469,-0.561016,-1.881582,26,71,32,84,-0.000016,-0.000062,-0.105652
1.274000,7.208441,-0.560921,-1.882439,26,69,32,85,0.000041,-0.000006,2.195319
