Time,Lift (cm),Roll (deg),Pitch (deg),Front right,Front left,Rear rigtht,Rear left,Forward velocity (m/s),Side velocity(m/s),Rotate velocity(deg/s)
0.010000,7.209575,-0.711304,-1.868207,25,70,31,85,-0.000078,-0.000021,0.311056
0.020000,7.209384,-0.709575,-1.868651,26,70,31,84,-0.000080,0.000031,-2.245578
0.030000,7.209422,-0.709687,-1.869012,26,70,31,84,-0.000098,0.000058,-1.734251
0.040000,7.209512,-0.707571,-1.868830,26,70,31,84,-0.000061,0.000001,-0.328102
0.050000,7.209384,-0.708254,-1.869182,25,69,32,85,0.000005,-0.000051,0.694552
0.061000,7.209495,-0.708363,-1.869061,25,71,31,85,0.000002,-0.000043,-1.222924
0.071000,7.209261,-0.709420,-1.868389,25,70,31,85,-0.000061,-0.000030,-1.478588
0.081000,7.209568,-0.709123,-1.868341,25,70,31,84,-0.000015,-0.000023,0.055393
0.091000,7.209568,-0.708989,-1.868606,25,70,32,85,-0.000018,0.000027,-0.839429
0.101000,7.209431,-0.709458,-1.867937,25,71,32,84,-0.000030,-0.000006,-1.862083
0.111000,7.209471,-0.708914,-1.867691,25,71,31,84,0.000008,0.000020,-0.072439
0.121000,7.209334,-0.710095,-1.867331,25,71,31,85,0.000030,-0.000004,-0.072439
0.131000,7.209508,-0.713690,-1.865478,25,70,31,85,0.000038,-0.000003,-0.583766
0.142000,7.209474,-0.712438,-1.866238,26,70,31,84,0.000050,-0.000007,0.311056
0.152000,7.209186,-0.711285,-1.865969,26,71,31,85,0.000054,0.000067,-1.478588
0.162000,7.209627,-0.709963,-1.865532,25,70,30,85,0.000049,0.000067,2.356364
0.172000,7.209601,-0.711013,-1.866405,26,71,31,85,0.000019,0.000006,0.566720
0.182000,7.209323,-0.709642,-1.867729,25,70,31,85,0.000028,-0.000004,-1.350756
0.192000,7.209113,-0.709634,-1.867087,25,70,31,85,0.000020,-0.000024,-0.455934
0.202000,7.209479,-0.708171,-1.867694,26,71,31,84,-0.000021,-0.000005,0.438888
0.213000,7.209503,-0.706630,-1.867571,26,71,31,85,-0.000084,-0.000017,1.845037
0.223000,7.209554,-0.706367,-1.868732,26,70,30,85,-0.000066,-0.000016,1.461542
0.233000,7.209435,-0.706287,-1.870200,25,70,31,85,-0.000040,-0.000022,-0.072439
0.243000,7.209393,-0.706300,-1.869153,26,70,31,84,-0.000091,-0.000031,1.845037
0.253000,7.209281,-0.706511,-1.868881,25,71,31,84,-0.000143,-0.000017,-0.455934
