time,lift,roll,pitch
1.276000,28.520035,-2.706897,-1.075022
1.286000,28.529892,-2.762206,-1.146828
1.296000,28.543821,-2.830169,-1.173924
1.307000,28.548632,-2.872820,-1.203802
1.316000,28.524214,-2.829318,-1.183593
1.327000,28.526268,-2.770706,-1.091529
1.337000,28.515163,-2.717173,-0.989188
1.347000,28.503883,-2.649934,-0.922452
1.357000,28.502359,-2.647885,-0.913572
1.367000,28.504663,-2.694892,-0.959896
1.378000,28.510323,-2.759589,-1.050079
1.387000,28.522591,-2.846440,-1.158301
1.397000,28.532366,-2.913613,-1.220968
1.407000,28.536840,-2.954686,-1.294937
1.417000,28.541630,-2.933489,-1.364041
1.427000,28.542084,-2.829441,-1.391952
1.438000,28.541851,-2.650654,-1.386204
1.448000,28.197781,-2.342805,-1.340261
1.458000,28.354412,-2.217527,-1.268235
1.468000,28.463757,-2.196067,-1.180346
1.478000,28.504097,-2.214104,-1.102710
1.488000,28.505779,-2.332320,-1.136181
1.498000,28.506067,-2.414831,-1.241864
1.508000,28.496181,-2.373721,-1.297413
1.518000,28.491188,-2.312559,-1.262914
1.528000,28.493818,-2.356576,-1.164878
1.539000,28.492874,-2.486415,-1.063865
1.549000,28.473755,-2.643249,-1.005395
1.559000,28.475210,-2.779286,-0.985423
1.569000,28.488203,-2.881404,-0.970916
1.579000,28.495487,-2.944952,-1.000984
1.589000,28.496969,-2.972530,-1.045029
1.599000,28.498352,-2.998095,-1.093659
1.610000,28.499355,-3.027613,-1.139033
1.619000,28.501326,-3.033614,-1.150095
1.629000,28.504801,-3.066306,-1.133833
1.640000,28.277462,-3.102329,-1.105244
1.650000,28.355698,-3.043651,-1.107842
1.660000,28.474962,-2.972774,-1.118809
1.670000,28.560310,-2.997283,-1.169874
1.680000,28.564743,-2.989917,-1.177750
1.690000,28.568939,-2.926444,-1.203477
1.700000,28.568134,-2.807846,-1.256114
1.710000,28.556126,-2.649113,-1.252197
1.720000,28.551132,-2.529989,-1.186529
1.730000,28.547426,-2.458451,-1.083299
1.741000,28.541306,-2.425052,-1.016988
1.750000,28.539122,-2.433970,-1.022342
1.761000,28.540707,-2.455651,-1.063295
1.771000,28.549852,-2.486649,-1.139550
1.781000,28.556112,-2.516028,-1.235987
1.791000,28.570084,-2.548616,-1.327550
1.801000,28.594948,-2.543792,-1.415554
1.811000,28.602814,-2.447900,-1.482960
1.821000,28.602406,-2.182527,-1.493334
1.831000,28.604244,-1.846757,-1.440749
1.841000,28.239367,-1.510593,-1.337793
1.851000,28.428581,-1.487295,-1.212590
1.861000,28.547344,-1.523368,-1.194398
1.872000,28.589979,-1.598729,-1.225679
1.882000,28.601814,-1.799082,-1.276983
1.892000,28.599838,-1.970487,-1.358696
1.902000,28.600710,-2.025499,-1.384922
1.912000,28.594303,-2.049150,-1.308454
1.922000,28.590485,-2.251154,-1.081885
1.932000,28.573109,-2.475472,-0.999258
1.942000,28.572115,-2.644271,-0.991622
1.952000,28.557205,-2.769001,-1.018315
1.962000,28.560213,-2.862726,-1.015814
1.972000,28.566793,-2.868748,-1.045491
1.983000,28.553665,-2.877287,-1.126093
1.993000,28.541693,-2.901460,-1.228540
2.003000,28.522619,-2.853140,-1.315331
2.013000,28.502295,-2.773874,-1.356408
2.023000,28.479528,-2.777908,-1.345726
2.033000,28.314745,-2.799668,-1.290926
2.043000,28.444710,-2.810976,-1.222814
2.053000,28.472710,-2.915242,-1.212763
2.063000,28.518414,-2.941222,-1.258187
2.073000,28.506815,-2.880543,-1.365702
2.083000,28.466745,-2.773994,-1.522079
2.095000,28.451893,-2.620261,-1.620395
2.104000,28.432365,-2.475492,-1.573203
2.114000,28.424051,-2.378809,-1.397750
2.124000,28.403551,-2.256944,-1.199363
2.134000,28.378019,-2.151295,-1.083476
2.144000,28.350306,-2.147334,-1.001855
2.154000,28.333729,-2.159127,-0.967150
2.164000,28.332169,-2.176172,-1.015109
2.174000,28.332619,-2.196395,-1.167193
2.184000,28.363054,-2.265525,-1.399112
2.196000,28.386997,-2.441744,-1.573450
2.205000,28.351624,-2.651921,-1.662177
2.215000,28.304899,-2.717633,-1.670517
2.225000,27.698290,-2.379731,-1.434048
2.235000,27.995014,-2.245020,-1.107229
2.245000,28.088808,-2.285314,-0.942879
2.255000,28.108099,-2.405954,-0.856596
2.265000,28.188293,-2.538615,-0.878819
2.275000,28.205982,-2.657406,-1.046812
2.285000,28.192764,-2.693776,-1.215954
2.295000,28.184799,-2.642096,-1.286230
2.305000,28.207573,-2.648441,-1.220836
2.316000,28.251165,-2.722936,-1.039864
2.326000,28.263250,-2.848883,-0.888943
2.336000,28.259390,-2.995093,-0.785308
2.346000,28.284777,-3.242801,-0.646311
2.356000,28.314934,-3.453880,-0.577223
2.366000,28.357855,-3.548579,-0.653437
2.376000,28.354650,-3.574286,-0.874874
2.386000,28.357542,-3.494555,-1.133928
2.396000,28.371788,-3.286374,-1.323038
2.406000,28.347610,-3.015291,-1.431849
2.416000,27.880903,-2.745292,-1.463517
2.426000,27.909142,-2.499793,-1.338352
2.437000,28.119474,-2.495419,-1.177812
2.447000,28.131330,-2.601705,-1.128470
2.457000,28.210888,-2.576250,-1.141232
2.467000,28.261379,-2.590725,-1.303353
2.478000,28.223595,-2.555964,-1.514524
2.487000,28.264639,-2.589469,-1.505534
2.497000,28.337080,-2.634425,-1.328488
2.508000,28.363216,-2.549245,-1.117280
2.517000,28.377550,-2.428116,-0.957115
2.527000,28.402775,-2.364919,-0.816022
2.537000,28.449064,-2.313005,-0.681196
